id_producto,producto,proveedor,categoria
7450143162527,Mayonesa Original Kris de 60 gr,Kris,Mayonesa
7450152206495,Avena InstantÃ¡neas Princesa Bolsa de 300 gr,Princesa,Avena Instantanea
7392493469855,Agua con Gas Vital 600 ml,Vital,Agua con Gas
7392495370399,Cappuccino Original NescafÃ© Sobre 20 g 6 u,NescafÃ©,Cafe
7392496844959,Palitos Salados con Queso Bread King 120 g,Bread King,Palitos de Queso
7392503562399,Jugo Tampico Citrus Punch 3 l,Tampico,Jugo de Fruta
7392503922847,Jugo Naranja Del Valle 1 l,Del Valle,Jugo de Fruta
7392581976223,Amarula Crema y Amarula 750 ml,Amarula,Licor
7392583286943,AtÃºn en Aceite Grated A1 de 170g,A1,Atun en Aceite
7392583352479,AtÃºn en Aceite Trozos A1 140 g,A1,Atun en Aceite
7392583450783,AtÃºn en Aceite Filetes A1 170 g,A1,Atun en Aceite
7392583843999,AtÃºn Lomito en Agua Real 354 g,Real,Atun en Agua
7392583876767,AtÃºn Lomitos Ahumados Robinson Crusoe 160 g,Robinson Crusoe,Atun
7392583909535,AtÃºn Lomitos con Aceite Robinson Crusoe 160 g,Robinson Crusoe,Atun en Aceite
7392612876447,Pan Integal Vikinger,Vikinger,Pan
7436947456159,Pipoca Mantequilla Extra Act II de 99 gr,Act II,Pipoca
7436950929567,Gaseosa Papaya cero Azucar La CabaÃ±a de 2000 ml,La CabaÃ±a,Gaseosa
7436952731807,Papas Fritas Lays de 40 gr,Lays,Papas Fritas
7436952764575,Agua sin Gas Mendocina de 1000 ml,Mendocina,Agua sin Gas
7436953059487,Tortilla de Harina Integral Don Taco de 240 gr,Don Taco,Tortilla integral
7436955943071,Sopa Instantanea Lunch Maruchan sabor Carne de Res de 64 gr,Maruchan,Sopa
7436958662815,Tableta para Mosquitos Rapida Accion Raid de 12 Uni,Raid,Tableta para Mosquitos
7436958761119,Hamburguesa Fridogrill Fridosa de 113 gr 6 Uni,Fridosa,Hamburguesa
7436959350943,Galleta Doblon Costa de 30 Uni 420 gr,Costa,Galletas
