id_producto,producto,proveedor,categoria
745,Abrillantador Lavavajillas Brillo Finish 400 Ml,Finish,/LIMPIEZA Y DETERGENTES/Limpieza de Cocina/Lavavajillas/
490,Aceite Johnsons 200 Ml,Johnsons,/BEBÉS/Cuidado y Aseo del Bebé/Aceites y Cremas/
660,Aceite de Oliva Carbonell Lata 500 Ml,Carbonell,/ABARROTES Y DESPENSA/Aceites y Vinagres/Aceite de Oliva/
431,Aceite de Oliva Clasico Carbonell 500 Ml,Carbonell,/ABARROTES Y DESPENSA/Aceites y Vinagres/Aceite de Oliva/
432,Aceite de Oliva Virgen Extra Carbonell 250 Ml,Carbonell,/ABARROTES Y DESPENSA/Aceites y Vinagres/Aceite de Oliva/
661,Aceite de Oliva Virgen Extra Carbonell 500 Ml,Carbonell,/ABARROTES Y DESPENSA/Aceites y Vinagres/Aceite de Oliva/
662,Aceite de Oliva Virgen Extra Mezquita Vidrio Carbonell 750 ML.,Carbonell,/ABARROTES Y DESPENSA/Aceites y Vinagres/Aceite de Oliva/
673,Aceituna Descarozada Cebila 150 Gr,Cebila,/ABARROTES Y DESPENSA/Conservas/Aceitunas en Conserva/
674,Aceituna Rellena Cebila 200 Gr,Cebila,/ABARROTES Y DESPENSA/Conservas/Aceitunas en Conserva/
1579,Acelga China Abasto,Abasto,/FRUTAS Y VERDURAS/Verduras/
1558,Acelga Importada Impex,Impex,/FRUTAS Y VERDURAS/Verduras/
1559,Achojcha Impex,Impex,/FRUTAS Y VERDURAS/Verduras/
2101,Acondicionador Aloe Hair Food Fructis 300 Ml,Fructis Hair Food,/CUIDADO PERSONAL/Cuidado del Cabello/Acondicionador/
493,Acondicionador Balsamo Manzanilla Baby Sec Simonds 610 Ml,Simonds,/BEBÉS/Cuidado y Aseo del Bebé/Baño del Bebé/
2099,Acondicionador Banana Hair Food Fructis 300 Ml,Fructis Hair Food,/CUIDADO PERSONAL/Cuidado del Cabello/Acondicionador/
2103,Acondicionador Coco Hair Food Fructis 300 Ml,Fructis Hair Food,/CUIDADO PERSONAL/Cuidado del Cabello/Acondicionador/
2054,Acondicionador Color Vile Elvive 680 Ml,Loreal,/CUIDADO PERSONAL/Cuidado del Cabello/Acondicionador/
2052,Acondicionador Dream Long Elvive 680 Ml,Loreal,/CUIDADO PERSONAL/Cuidado del Cabello/Acondicionador/
463,Acondicionador Fuerza de Reconstruccion Pamteme Pro V 400 Ml,Pantene,/CUIDADO PERSONAL/Cuidado del Cabello/Acondicionador/
2051,Acondicionador HidraHialuronico Elvive 370 Ml,Loreal,/CUIDADO PERSONAL/Cuidado del Cabello/Acondicionador/
2059,Acondicionador HidraHialuronico Elvive 680 Ml,Loreal,/CUIDADO PERSONAL/Cuidado del Cabello/Acondicionador/
1323,Acondicionador Oleo Nutricion Dove 400 Ml,Dove,/CUIDADO PERSONAL/Cuidado del Cabello/Acondicionador/
2053,Acondicionador Reparación Total 5 Elvive 680 Ml,Loreal,/CUIDADO PERSONAL/Cuidado del Cabello/Acondicionador/
362,Agua Pura Vida Pil 5 Lts,Pil,"/BEBIDAS, CERVEZAS Y LICORES/Aguas/Agua de Mesa/"
363,Agua Villa Santa 7 Lts,Villa Santa,"/BEBIDAS, CERVEZAS Y LICORES/Aguas/Agua de Mesa/"
382,Agua con Gas Mendocina 2 Lts,Mendocina,"/BEBIDAS, CERVEZAS Y LICORES/Aguas/Agua de Mesa/"
383,Agua sin Gas Vital 6 Lts,Vital,"/BEBIDAS, CERVEZAS Y LICORES/Aguas/Agua de Mesa/"
384,Agua sin Gas Vital 600 Ml,Vital,"/BEBIDAS, CERVEZAS Y LICORES/Aguas/Agua de Mesa/"
1582,Ajo Entero Abasto,Abasto,/FRUTAS Y VERDURAS/Verduras/
1583,Ajo Pelado Abasto,Abasto,/FRUTAS Y VERDURAS/Verduras/
1499,Albondigas de Carne Sin Condimento en Bandeja x kg,Frigor,"/CARNES, MARISCOS Y PESCADO/Hamburguesas/"
