id_producto,producto,categoria,subcategoria,ipc_codigo_final,semantic_score,auto_accept,bb/ss,grupo
1007,Helado Cabrera Frutilla 1.2 L,congelados,"helados, cassattas y picoleses",1180502,0.8483586311340332,False,helado,alimentos y bebidas no alcoholicas
1015,Helado Cabrera Granizado 1/2 ml,congelados,"helados, cassattas y picoleses",1180502,0.8533531427383423,False,helado,alimentos y bebidas no alcoholicas
1023,Helado Cabrera Vainilla 1.2 L,congelados,"helados, cassattas y picoleses",1180502,0.8486578464508057,False,helado,alimentos y bebidas no alcoholicas
1031,Helado Cabrera Chocolate 500 ml,congelados,"helados, cassattas y picoleses",1180502,0.8548923134803772,False,helado,alimentos y bebidas no alcoholicas
1040,Helado Cabrera Coco 1/2 Lt,congelados,"helados, cassattas y picoleses",1180502,0.8527941703796387,False,helado,alimentos y bebidas no alcoholicas
1058,Helado Cabrera Moka 1500 ml,congelados,"helados, cassattas y picoleses",1180502,0.8531807661056519,False,helado,alimentos y bebidas no alcoholicas
1074,Helado Cabrera Dulce de Leche 500 ml,congelados,"helados, cassattas y picoleses",1180502,0.8522419929504395,False,helado,alimentos y bebidas no alcoholicas
1082,Helado Cabrera Frutilla 1 L,congelados,"helados, cassattas y picoleses",1180502,0.8529345989227295,False,helado,alimentos y bebidas no alcoholicas
1090,Helado Cabrera Granizado 1 L,congelados,"helados, cassattas y picoleses",1180502,0.8521971106529236,False,helado,alimentos y bebidas no alcoholicas
1104,Helado Cabrera Vainilla 1 L,congelados,"helados, cassattas y picoleses",1180502,0.8528236150741577,False,helado,alimentos y bebidas no alcoholicas
1112,Helado Cabrera Chocolate 1 L,congelados,"helados, cassattas y picoleses",1180502,0.8543719053268433,False,helado,alimentos y bebidas no alcoholicas
1120,Helado Cabrera Coco 1 L,congelados,"helados, cassattas y picoleses",1180502,0.8552221655845642,False,helado,alimentos y bebidas no alcoholicas
1139,Helado Cabrera Moka 1 L,congelados,"helados, cassattas y picoleses",1180502,0.8533514738082886,False,helado,alimentos y bebidas no alcoholicas
1155,Helado Cabrera Dulce de Leche 1 L,congelados,"helados, cassattas y picoleses",1180502,0.851555347442627,False,helado,alimentos y bebidas no alcoholicas
1163,Helado Cabrera Cassata 900 ml,congelados,"helados, cassattas y picoleses",1180502,0.854293704032898,False,helado,alimentos y bebidas no alcoholicas
1198,Helado Cabrera Dolce Vita Surtido Caja 6 un,congelados,"helados, cassattas y picoleses",1180502,0.843081533908844,False,,
1557,Pure de Manzana Campo Verde 920 gr,abarrotes,frutas en conserva,1220301,0.8599687218666077,False,jugos de fruta envasados,alimentos y bebidas no alcoholicas
1605,Agua Sante Sin Gas 1750 ml,bebidas,aguas,1220102,0.8840739727020264,False,agua natural envasada,alimentos y bebidas no alcoholicas
1606,Nuez Moscada Carmencita Molida 30 gr,abarrotes,condimentos y legumbres,1190102,0.861998438835144,False,"especias, salsas, condimentos, aderezos y similares",alimentos y bebidas no alcoholicas
1610,Api Inpronut Morado 200 gr,abarrotes,basicos,11110310,0.8620693683624268,False,"api, tojori, tujure con o sin bunuelo, pastel, etc.",alimentos y bebidas consumidos fuera del hogar
1614,Masticable Fruwi Frutal 375 gr,abarrotes,golosinas - varias,1180402,0.8495596051216125,False,caramelos/dulces,alimentos y bebidas no alcoholicas
1617,Baton Garoto Leche Frutilla 16 gr,abarrotes,golosinas - varias,1140102,0.8562188148498535,False,leche pasteurizada,alimentos y bebidas no alcoholicas
1618,Baton Garoto Creme Leite 16 gr,abarrotes,golosinas - varias,1140301,0.8498635292053223,False,productos lacteos no de leche de vaca,alimentos y bebidas no alcoholicas
