id_producto,producto,categoria_super,subcategoria_super,ipc_text_match,match_score,match_method,validated,notes,codigo,bbyss,ponderador,bbyss_norm,ipc_text
621761,Brocoli kg,frutas y verduras,verduras,brocoli,82.35294117647058,fuzzy,False,,1170111.0,Brócoli,0.02,brocoli,brocoli
883723,Audifono Huavi F2 para Celular,bazar,telefonia y accesorios,audifonos para celular,80.76923076923077,fuzzy,False,,5520323.0,Audífonos para celular,0.01,audifonos para celular,audifonos para celular
638016,Papaya kg,frutas y verduras,frutas,papaya,80.0,fuzzy,False,,1160163.0,Papaya,0.06,papaya,papaya
618114,Locoto kg,frutas y verduras,verduras,locoto,80.0,fuzzy,False,,1170121.0,Locoto,0.05,locoto,locoto
1971,Salsa Tabasking Picante Lamor 100 ml,abarrotes,aderezos,,,unmatched,False,,,,,,
6715,Mostaza Taste Zero 350 gr,abarrotes,aderezos,,,unmatched,False,,,,,,
6716,Mayonesa Taste Zero 335 gr,abarrotes,aderezos,,,unmatched,False,,,,,,
6717,Ketchup Taste Zero 350 gr,abarrotes,aderezos,,,unmatched,False,,,,,,
6720,Salsa Taste Barbecue Zero 350 gr,abarrotes,aderezos,,,unmatched,False,,,,,,
14128,Salsa Goya Verde Medium 17.6 oz,abarrotes,aderezos,,,unmatched,False,,,,,,
14129,Salsa Goya Roja Casera 7 oz,abarrotes,aderezos,,,unmatched,False,,,,,,
14130,Chiles Goya Chiplotes Adobado 7 oz,abarrotes,aderezos,,,unmatched,False,,,,,,
14131,Chiles Goya Chiplotes Adobado 12 oz,abarrotes,aderezos,,,unmatched,False,,,,,,
14438,Ketchup Cepera 1 L,abarrotes,aderezos,,,unmatched,False,,,,,,
14439,Mostaza Cepera Amarilla 1 L,abarrotes,aderezos,,,unmatched,False,,,,,,
14440,Mayonesa Cepera Original 320 gr,abarrotes,aderezos,,,unmatched,False,,,,,,
14441,Mayonesa Cepera Original 730 gr,abarrotes,aderezos,,,unmatched,False,,,,,,
14512,Mayonesa Cepera Con Ajo 190 gr,abarrotes,aderezos,,,unmatched,False,,,,,,
14530,Mayonesa Cepera Salsa Cebolla 190 gr,abarrotes,aderezos,,,unmatched,False,,,,,,
14532,Mayonesa Cepera Cheddar 190 gr,abarrotes,aderezos,,,unmatched,False,,,,,,
14589,Salsa Goya Taquera 17.6 oz,abarrotes,aderezos,,,unmatched,False,,,,,,
