fecha,id_producto,precio
2025-09-01,56267,34.56
2025-09-01,56915,17.91
2025-09-01,54667,14.04
2025-09-01,56881,4.5
2025-09-01,56879,101.61
2025-09-01,56884,4.5
2025-09-01,56880,4.5
2025-09-01,56878,4.5
2025-09-01,15933,38.61
2025-09-01,16812,31.41
2025-09-01,56696,917.1
2025-09-01,24788,40.41
2025-09-01,56334,230.4
2025-09-01,56074,269.1
2025-09-01,47666,435.0
2025-09-01,58192,690.3
2025-09-01,56918,27.09
2025-09-01,54664,23.76
2025-09-01,56513,18.81
2025-09-01,54668,18.81
2025-09-01,56510,18.09
2025-09-01,56511,23.31
2025-09-01,56509,20.61
2025-09-01,56512,42.75
2025-09-01,56506,29.97
2025-09-01,56250,295.2
2025-09-01,20818,27.81
2025-09-01,56882,4.5
2025-09-01,56270,4.5
2025-09-01,56524,5.58
2025-09-01,56900,1.8
2025-09-01,56901,1.8
2025-09-01,51851,278.1
2025-09-01,56883,4.5
2025-09-01,56888,4.5
2025-09-01,56507,42.48
2025-09-01,52633,314.1
2025-09-01,53475,44.91
2025-09-01,55793,4.41
2025-09-01,21089,14.31
2025-09-01,53023,71.91
2025-09-01,24654,98.91
2025-09-01,24665,239.2
2025-09-01,53033,224.91
2025-09-01,27991,22.41
2025-09-01,27989,58.41
2025-09-01,53068,47.61
2025-09-01,51645,71.91
2025-09-01,33069,134.91
2025-09-01,13211,86.4
2025-09-01,16581,62.91
2025-09-01,17326,22.41
2025-09-01,15944,453.6
2025-09-01,13345,69.21
2025-09-01,29446,152.91
2025-09-01,53028,71.91
2025-09-01,21117,10.35
2025-09-01,20815,69.21
2025-09-01,56905,4.5
2025-09-01,18419,4.5
2025-09-01,27658,15.21
2025-09-01,27659,24.21
2025-09-01,52493,269.91
2025-09-01,50291,62.91
2025-09-01,4142,125.91
2025-09-01,58061,51.21
2025-09-01,9337,71.91
2025-09-01,14134,62.91
2025-09-01,5045,84.51
2025-09-01,19744,33.21
2025-09-01,7988,103.41
2025-09-01,11497,80.91
2025-09-01,58063,92.61
2025-09-01,50287,62.91
2025-09-01,56556,71.91
2025-09-01,17273,53.91
2025-09-01,19747,33.21
2025-09-01,58117,53.91
2025-09-01,56933,62.91
2025-09-01,58062,54.81
2025-09-01,7968,80.91
2025-09-01,56934,66.51
2025-09-01,56535,87.21
2025-09-01,53686,269.91
2025-09-01,52054,62.91
2025-09-01,17272,51.21
2025-09-01,24601,35.91
2025-09-01,7068,114.21
2025-09-01,50442,35.91
2025-09-01,48231,323.91
2025-09-01,54642,62.91
2025-09-01,52496,511.92
2025-09-01,35304,543.2
2025-09-01,55322,423.92
2025-09-01,57291,239.92
2025-09-01,52355,521.1
2025-09-01,53805,53.91
2025-09-01,53801,33.21
2025-09-01,55031,40.41
2025-09-01,55032,35.91
2025-09-01,53365,33.21
2025-09-01,52179,35.91
2025-09-01,52348,35.91
2025-09-01,52180,33.21
2025-09-01,53804,53.91
2025-09-01,53800,125.91
2025-09-01,53798,55.71
2025-09-01,53799,40.41
2025-09-01,53008,62.91
2025-09-01,18707,62.91
2025-09-01,18704,62.91
2025-09-01,18706,55.71
2025-09-01,18693,107.91
2025-09-01,53802,35.91
2025-09-01,53803,35.91
2025-09-01,56502,116.91
2025-09-01,47308,359.1
2025-09-01,32964,6047.1
2025-09-01,34423,599.0
2025-09-01,15576,33.21
2025-09-01,27907,24.21
2025-09-01,29665,26.91
2025-09-01,27949,40.41
2025-09-01,29139,44.91
2025-09-01,29140,49.41
2025-09-01,29141,60.21
2025-09-01,27978,25.11
2025-09-01,20811,0.31
2025-09-01,20809,1.26
2025-09-01,20810,0.81
2025-09-01,20816,0.99
2025-09-01,20819,1.08
2025-09-01,20820,0.54
