id,category,brand,name
202773,Panadería y Pastelería,Ketal,Pan Ketal Baguete Por Unidad
1020073,Lácteos,Sabrosa,Aceite Sabrosa Light 900Ml
1020075,Abarrotes,Sabrosa,Aceite Sabrosa Girasol 900Ml
1040081,Abarrotes,Carbonell,Aceite Carbonell Virg Extr. Fco 500Ml
1040160,Abarrotes,Cocinero,Aceite De Oliva Cocinero 500Ml
1060132,Abarrotes,Fino,Aceite Fino 900Ml
1060135,Abarrotes,Fino,Aceite Fino 1.8 Lt
1060136,Abarrotes,Fino,Aceite Fino Light 900Ml
1060137,Abarrotes,Fino,Aceite Fino Light 1.8 Lt
1060150,Abarrotes,Fino,Aceite Fino 4.5L
1060280,Abarrotes,Sabrosa,Aceite Sabrosa 4.5L
1061873,Abarrotes,Fino,Aceite Fino Light 4500Ml
1080100,Lácteos,Karina,Manteca Karina 450 Gr
2010746,Abarrotes,Wish Bone,Aderezo Wish-Bone Creamy Caesar 444Ml
2020472,Abarrotes,Gourmet,Base Gourmet Hamburguesa 90Gr
2020475,Abarrotes,Gourmet,Base Gourmet Chapsui 33Gr
2030207,Abarrotes,Kris,Ketchup Kris Doypack 1000Gr
2030215,Abarrotes,Kris,Pack Trio Salsas Kris Pomo 3X380Ml
2030483,Abarrotes,Hellmanns,Ketchup Hellmanns 400Gr
2040091,Abarrotes,Hellmanns,Mayonesa Hellmanns Doypack 500Gr
2040092,Abarrotes,Hellmanns,Mayonesa Hellmanns Doypack 1Kg
2040252,Abarrotes,Kris,Mayonesa Kris Pomo 380Gr
2040257,Abarrotes,Kris,Mayonesa Kris Doypack 1000Gr
2040685,Abarrotes,Kris,Mayonesa Kris Doypack 500Gr
2050152,Abarrotes,Kris,Mostaza Kris Doypack 1000Gr
2050154,Abarrotes,Kris,Mostaza Kris Pomo 400Gr
2060150,Abarrotes,Cajamar,Extracto Tomate Cajamar 140Gr
2060451,Abarrotes,Kris,Salsa Kris Golf 380Gr
2060715,Abarrotes,Hunts,Pasta De Tomate Hunts Natural 170Gr
2061120,Abarrotes,Mc Ilhenny,Tabasco Mcilhenny Original 60Ml
2061122,Abarrotes,Mc Ilhenny,Tabasco Mcilhenny Original 150Ml
2070850,Abarrotes,Gourmet,Salsa Gourmet Alfredo 41Gr
2070853,Abarrotes,Gourmet,Salsa Gourmet Champinones 30Gr
2081241,Abarrotes,Favinco,Vinagre Favinco Manzana 500Ml
2081242,Abarrotes,Favinco,Vinagre Favinco Manzana 1Lt
2081244,Abarrotes,Favinco,Vinagre Favinco Alcohol Blanco 1Lt
2081245,Abarrotes,Favinco,Vinagre Favinco Vino 1Lt
3010224,Abarrotes,Caisy,Arroz Caisy Perlado 1Kg
3010225,Abarrotes,Caisy,Arroz Caisy Estaquilla 1Kg
3010226,Abarrotes,Caisy,Arroz Caisy Estaquilla 5Kg
3010227,Abarrotes,Caisy,Arroz Caisy Grano De Oro1Kg
3010229,Abarrotes,Caisy,Arroz Caisy Grano De Oro 5Kg
4010080,Abarrotes,Guabira,Azucar Guabira Extra Fina 1Kg
4010082,Abarrotes,Guabira,Azucar Guabira Extra Fina 5Kg
4010083,Abarrotes,Guabira,Azucar Guabira Morena 1 Kg
4020020,Abarrotes,Agrosol,Azucar Agrosol 250Gr Molida
4030077,Abarrotes,Irupana,Azucar Irupana 2Kg Morena
4030079,Abarrotes,Irupana,Azucar Irupana 1Kg Morena
5010110,"Bebidas, Licores y Tabacos",Paceña,Cerveza Pacena Centenario Bot 350Ml
5010112,"Bebidas, Licores y Tabacos",Paceña,Cerveza Pacena Lata 354 Ml.
5010121,"Bebidas, Licores y Tabacos",Paceña,Cerveza Pacena Pilsener Pico Plat 300 Ml
5010151,"Bebidas, Licores y Tabacos",Heineken,Cerveza Heineken Botella 330Ml
5010200,"Bebidas, Licores y Tabacos",Corona,Cerveza Corona Botella 355Ml
5010280,"Bebidas, Licores y Tabacos",Huari,Cerveza Huari Botella 620 Ml
5010281,"Bebidas, Licores y Tabacos",Huari,Cerveza Huari Botella 330 Ml
5010285,"Bebidas, Licores y Tabacos",,Bicervecina Inca 620 Ml Bot
5010711,"Bebidas, Licores y Tabacos",Maltin,Maltin Malta S\/Alcohol  620 Ml
5010751,"Bebidas, Licores y Tabacos",,Cerveza Pacena Pilsener 620 Ml Bot
5020010,Espumantes,Andre,Champagne Andre Brut 750Ml
5020146,Vinos,Terrunio,Vino Terrunio Carmenere 750Ml
