time,id,price,quantity
2022-03-01,80209202,18.9,9999
2022-03-01,80206204,23.7,22
2022-03-01,80209215,25.3,20
2022-03-01,80209214,12.3,46
2022-03-01,80137361,19.9,99
2022-03-01,71025945,13.5,25
2022-03-01,33020109,13.9,22
2022-03-01,80144922,24.9,11
2022-03-01,80177433,19.9,65
2022-03-01,80209246,15.9,17
2022-03-01,80169930,34.9,112
2022-03-01,80200053,7.5,0
2022-03-01,80177432,19.9,63
2022-03-01,80209188,49.9,33
2022-03-01,80192813,9.9,16
2022-03-01,80200054,7.5,15
2022-03-01,80191880,7.5,24
2022-03-01,80191881,7.5,23
2022-03-01,80197570,11.5,44
2022-03-01,80208572,6.9,12
2022-03-01,80203326,7.5,22
2022-03-01,80203327,7.5,15
2022-03-01,80190783,39.9,0
2022-03-01,80168119,9.9,55
2022-03-01,80178043,9.9,9998
2022-03-01,80157895,19.9,44
2022-03-01,34014503,17.9,81
2022-03-01,80178638,9.9,1
2022-03-01,80204263,24.9,29
2022-03-01,80168165,19.9,54
2022-03-01,80144587,6.9,61
2022-03-01,80203382,1.9,555
2022-03-01,80136762,95.3,5
2022-03-01,80132714,4.7,0
2022-03-01,71038268,5.5,80
2022-03-01,80208919,129.0,3
2022-03-01,80208941,17.1,42
2022-03-01,80208915,128.0,9
2022-03-01,80208916,53.4,8
2022-03-01,80208917,60.3,3
2022-03-01,80208911,10.9,28
2022-03-01,80208910,10.9,13
2022-03-01,80208912,10.9,17
2022-03-01,80208898,18.3,0
2022-03-01,80208899,18.3,0
2022-03-01,80208896,15.1,0
2022-03-01,80208909,10.9,13
2022-03-01,80208867,35.2,68
2022-03-01,80208868,35.2,66
2022-03-01,80208895,28.5,0
2022-03-01,80208897,30.3,0
2022-03-01,80206689,5.5,9999
2022-03-01,80208647,51.7,17
2022-03-01,80208861,62.4,8
2022-03-01,80208862,62.4,8
2022-03-01,80208864,13.2,49
2022-03-01,80208866,13.2,45
2022-03-01,80208865,13.2,48
2022-03-01,80208863,62.4,12
2022-03-01,80209244,16.5,9999
2022-03-01,80209203,9.9,9999
2022-03-01,80209182,96.9,4
2022-03-01,80131965,8.6,70
2022-03-01,80209180,39.9,24
2022-03-01,80209179,45.9,12
2022-03-01,80209183,69.9,20
2022-03-01,80208490,79.9,5
2022-03-01,80208486,79.9,18
2022-03-01,80208484,102.9,14
2022-03-01,80207820,78.9,9
2022-03-01,80209178,42.9,0
2022-03-01,80168171,10.9,33
2022-03-01,80209185,34.9,25
2022-03-01,80209184,34.9,14
2022-03-01,80208482,102.9,20
2022-03-01,80206028,18.9,9999
2022-03-01,80207529,12.0,102
2022-03-01,80206622,8.5,36
2022-03-01,80201853,139.9,12
2022-03-01,80201855,59.9,14
2022-03-01,80209098,112.9,11
2022-03-01,80147573,8.5,30
2022-03-01,80209034,296.0,5
2022-03-01,80209036,296.0,5
2022-03-01,80209038,9.5,0
2022-03-01,80209040,15.8,4
2022-03-01,80209039,15.8,7
2022-03-01,80209020,300.0,2
2022-03-01,80209022,300.0,3
2022-03-01,80209030,358.0,3
2022-03-01,80209032,231.0,4
2022-03-01,80209021,173.0,0
2022-03-01,80209031,101.0,9
2022-03-01,80209028,234.0,2
2022-03-01,80209009,284.0,2
2022-03-01,80209013,284.0,4
2022-03-01,80209015,284.0,4
2022-03-01,80209014,162.0,0
2022-03-01,80209016,173.0,1
2022-03-01,80209010,103.0,7
2022-03-01,80209012,101.0,5
2022-03-01,80209018,103.0,4
2022-03-01,80209002,300.0,2
2022-03-01,80209004,284.0,0
2022-03-01,80209005,431.0,3
2022-03-01,80209001,173.0,1
2022-03-01,80209006,162.0,4
2022-03-01,80209008,162.0,3
2022-03-01,80209003,101.0,1
2022-03-01,80209007,101.0,1
2022-03-01,80208995,231.0,0
2022-03-01,80208999,706.0,4
2022-03-01,80208996,126.0,0
2022-03-01,80209000,103.0,0
2022-03-01,80208994,298.0,0
2022-03-01,80208954,15.0,0
2022-03-01,80208925,12.3,0
2022-03-01,80208928,5.7,9
2022-03-01,80208929,70.5,6
2022-03-01,80208992,298.0,0
