id_producto,producto,categoria,subcategoria
1007,Helado Cabrera Frutilla 1.2 L,Congelados,"Helados, Cassattas y Picoleses"
1015,Helado Cabrera Granizado 1500 ml,Congelados,"Helados, Cassattas y Picoleses"
1023,Helado Cabrera Vainilla 1.2 L,Congelados,"Helados, Cassattas y Picoleses"
1031,Helado Cabrera Chocolate 500 ml,Congelados,"Helados, Cassattas y Picoleses"
1040,Helado Cabrera Coco 1/2 Lt,Congelados,"Helados, Cassattas y Picoleses"
1058,Helado Cabrera Moka 1500 ml,Congelados,"Helados, Cassattas y Picoleses"
1074,Helado Cabrera Dulce de Leche 500 ml,Congelados,"Helados, Cassattas y Picoleses"
1082,Helado Cabrera Frutilla 1 L,Congelados,"Helados, Cassattas y Picoleses"
1090,Helado Cabrera Granizado 1 L,Congelados,"Helados, Cassattas y Picoleses"
1104,Helado Cabrera Vainilla 1 L,Congelados,"Helados, Cassattas y Picoleses"
1112,Helado Cabrera Chocolate 1 L,Congelados,"Helados, Cassattas y Picoleses"
1120,Helado Cabrera Coco 1 L,Congelados,"Helados, Cassattas y Picoleses"
1139,Helado Cabrera Moka 1 L,Congelados,"Helados, Cassattas y Picoleses"
1155,Helado Cabrera Dulce de Leche 1 L,Congelados,"Helados, Cassattas y Picoleses"
1163,Helado Cabrera Cassata 900 ml,Congelados,"Helados, Cassattas y Picoleses"
1198,Helado Cabrera Dolce Vita Surtido Caja 6 un,Congelados,"Helados, Cassattas y Picoleses"
1557,Pure de Manzana Campo Verde 920 gr,Abarrotes,Frutas en Conserva
1605,Agua Sante Sin Gas 1750 ml,Bebidas,Aguas
1610,Api Inpronut Morado 200 gr,Abarrotes,Básicos
1614,Masticable Fruwi Frutal 375 gr,Abarrotes,Golosinas - Varias
1617,Baton Garoto Leche Frutilla 16 gr,Abarrotes,Golosinas - Varias
1618,Baton Garoto Creme Leite 16 gr,Abarrotes,Golosinas - Varias
1621,Harina Doñarepa Precocida Maiz Amarillo 1 kg,Abarrotes,Básicos
1623,Harina Doñarepa Precocida Maiz Blanco 1 kg,Abarrotes,Básicos
1624,Tripack Fideo Matarazzo Spaguetti 3 un 400 gr,Abarrotes,Básicos
1625,Tripack Fideo Matarazzo Tallarin 3 un 400 gr,Abarrotes,Básicos
1626,Sopa Instantanea Nissin Calabresa 85 gr,Abarrotes,Básicos
1628,Sopa Instantanea Nissin Mexicano 85 gr,Abarrotes,Básicos
1629,Energizante Monster Zero 473 ml,Bebidas,Energizantes
1644,Cafe Bolivia Especial Fruit Tostado Grano 1 kg,Abarrotes,Café y Sucedáneos
1655,Galleta Isabela Tortita Chocolate 140 gr,Abarrotes,Galletas
1656,Galleta Mousse Frutilla Chocolate 140 gr,Abarrotes,Galletas
1657,Galleta Isabela Mousse Chocoleche 140 gr,Abarrotes,Galletas
1659,Galleta Mana Vainilla Frutilla 152 gr,Abarrotes,Galletas
1661,Galleta Mana Chocolate Vainilla 152 gr,Abarrotes,Galletas
1668,Caramelo Sonetto Premium Mix 440 gr,Abarrotes,Chocolates y Caramelos
1672,Papa La Exquisita Rallada 150 gr,Abarrotes,Snack
1673,Chipilo La Exquisita Salado 150 gr,Abarrotes,Snack
1674,Chipilo La Exquisita Dulce 150 gr,Abarrotes,Snack
1675,Mani La Exquisita Salado 150 gr,Abarrotes,Snack
1705,Salsa de Tomate Fugini Albahaca 300 gr,Abarrotes,Salsas y Extracto de Tomate
1713,Alimento Raza Adulto Pollo Carne Cerdo 3 kg,Abarrotes,Mascotas
1714,Agua Tonica Fentimans Orange 200 ml,Bebidas,Aguas
1715,Agua Ginger Ale Fentimans 200 ml,Bebidas,Aguas
1717,Sazonador Badia Completa 9 oz,Abarrotes,Condimentos y Legumbres
1718,Ajo Badia Polvo 8 oz,Abarrotes,Condimentos y Legumbres
1719,Sal Badia de Ajo 16 oz,Abarrotes,Condimentos y Legumbres
1730,Agua Fentimans Rose Limonade 200 ml,Bebidas,Aguas
1731,Fideo Carozzi Spaguettini 3 400 gr,Abarrotes,Básicos
1734,Cerveza Prost Six Pack 355 ml,Bebidas,Cervezas
1743,Cafe Illy Blend Instantaneo 95 gr,Abarrotes,Café y Sucedáneos
1746,Agua Pura Vida Sin Gas 3 L,Bebidas,Aguas
1747,Arroz Cocinero Integral 1 kg,Abarrotes,Básicos
1751,Chocolate Toblerone Tiny 200 gr,Abarrotes,Chocolates y Caramelos
1752,Chocolate Milka Chips Ahoy 100 gr,Abarrotes,Chocolates y Caramelos
1756,Sazonador American Spice Salt 12.5 oz,Abarrotes,Condimentos y Legumbres
1758,Caramelo Carnival Mini Paleta 2.9 oz,Abarrotes,Chocolates y Caramelos
1767,Mezcla Bolo Zaeli Coco 450 gr,Abarrotes,Repostería
1776,Galleta Hipopo Relleno Frutilla 110 gr,Abarrotes,Galletas
1777,Galleta Hipopo Relleno Chocolate 110 gr,Abarrotes,Galletas
