id_producto,hoy,1,1_cambio,3,3_cambio,7,7_cambio,14,14_cambio,30,30_cambio,60,60_cambio,90,90_cambio,180,180_cambio,270,270_cambio
1007,15,15,0,15,0,15,0,15,0,15,0,13,0.154,13,0.154,13,0.154,13,0.154
1015,15.5,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,13,0.192,,,,,,
1023,15,15,0,15,0,15,0,15,0,15,0,13,0.154,13,0.154,13,0.154,13,0.154
1031,15,15,0,15,0,15,0,15,0,15,0,13,0.154,,,13,0.154,13,0.154
1040,15,15,0,15,0,15,0,15,0,15,0,13,0.154,13,0.154,13,0.154,13,0.154
1058,15,15,0,15,0,15,0,15,0,13,0.154,13,0.154,13,0.154,13,0.154,13,0.154
1074,15,15,0,15,0,15,0,15,0,15,0,13,0.154,13,0.154,13,0.154,13,0.154
1082,27,27,0,27,0,27,0,27,0,27,0,22,0.227,22,0.227,22,0.227,22,0.227
1090,28,28,0,28,0,28,0,28,0,28,0,22,0.273,22,0.273,22,0.273,22,0.273
1104,,,,,,,,,,,,,,,,,,,
1112,27,27,0,27,0,27,0,27,0,27,0,22,0.227,22,0.227,22,0.227,22,0.227
1120,27,27,0,27,0,27,0,27,0,27,0,,,,,22,0.227,22,0.227
1139,27,27,0,27,0,27,0,27,0,22,0.227,22,0.227,22,0.227,22,0.227,22,0.227
1155,27,27,0,27,0,27,0,27,0,27,0,22,0.227,22,0.227,22,0.227,22,0.227
1163,28,28,0,28,0,28,0,28,0,28,0,25,0.12,25,0.12,25,0.12,25,0.12
1557,,,,,,,,,,,,,,,,,,,
1605,5.2,5.2,0,5.2,0,5.2,0,5.2,0,5.2,0,5.2,0,5.2,0,5.2,0,5.2,0
1618,,,,,,,,,,,,,,,,,,,
1621,37.5,37.5,0,37.5,0,37.5,0,37.5,0,37.5,0,36.5,0.0274,36.5,0.0274,36.5,0.0274,35.5,0.0563
1623,,,,,,,,,,,,,,,,,,,
1626,7.5,7.5,0,7.5,0,7.5,0,7.5,0,6.5,0.154,6.5,0.154,6.5,0.154,6,0.25,5.5,0.364
1628,7.5,7.5,0,7.5,0,7.5,0,7.5,0,6.5,0.154,6.5,0.154,6.5,0.154,6,0.25,5.5,0.364
1629,25.5,25.5,0,25.5,0,25.5,0,25.5,0,25.5,0,19.5,0.308,19.5,0.308,19.5,0.308,19.5,0.308
1644,,,,,,,,,,,,,,,,,,,
1655,13.3,13.3,0,12.5,0.064,12.5,0.064,12.5,0.064,12.5,0.064,10,0.33,8.3,0.602,7.7,0.727,7.7,0.727
1656,13,13,0,12.5,0.04,12.5,0.04,12.5,0.04,12.5,0.04,10,0.3,8.3,0.566,7.3,0.781,7.3,0.781
1659,15,15,0,15,0,15,0,12.5,0.2,12.5,0.2,11.8,0.271,11.8,0.271,11.7,0.282,11.7,0.282
1661,15,15,0,15,0,15,0,13,0.154,13,0.154,11.7,0.282,11.7,0.282,11.7,0.282,11.7,0.282
1672,,,,,,,,,,,,,,,,,,,
1673,,,,,,,,,,,,,,,,,,,
1674,,,,,,,,,,,,,,,,,,,
1675,,,,,,,,,,,,,,,,,,,
1713,,,,,,,,,,,,,,,,,,,
1714,16.5,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0,15,0.1,15,0.1
1715,,,,,,,,,,,,,,,,,,,
1717,,,,,,,,,,,,,,,,,,,
1718,,,,,,,,,,,,,,,,,,,
1719,46.5,46.5,0,46.5,0,46.5,0,46.5,0,46.5,0,46.5,0,46.5,0,46.5,0,46.5,0
1730,,,,,,,,,,,,,,,,,,,
1731,15,15,0,17.7,-0.153,17.7,-0.153,17.7,-0.153,17.7,-0.153,13.4,0.119,11.3,0.327,10.2,0.471,10,0.5
1734,,,,,,,,,,,,,,,,,,,
1743,,,,,,,,,,,,,,,,,,,
1746,7.7,7.7,0,7.7,0,7.7,0,7.7,0,7.7,0,7.7,0,7.7,0,7.7,0,7.7,0
1747,26.5,26.5,0,26.5,0,26.5,0,26.5,0,26.5,0,21.5,0.233,21.5,0.233,21,0.262,21,0.262
1751,,,,,,,,,,,,,,,,,,,
1756,,,,,,,,,,,,,,,,,,,
1758,,,,,,,,,,,,,,,,,,,
1779,,,,,,,,,,,,,,,,,,,
1801,,,,,,,,,,,,,,,,,,,
1802,,,,,,,,,,,,,,,,,,,
1820,,,,,,,,,,,,,,,,,,,
1825,64,64,0,64,0,64,0,64,0,64,0,64,0,60,0.0667,60,0.0667,,
1831,,,,,,,,,,,,,,,,,,,
1832,,,,,,,,,,,,,,,,,,,
1833,,,,,,,,,,,,,,,,,,,
1844,,,,,,,,,,,,,,,,,,,
1849,,,,,,,,,,,,,,,,,,,
1851,,,,,,,,,,,,,,,,,,,
1863,8,8,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0
1864,,,,,,,,,,,,,,,,,,,
1867,355,355,0,355,0,355,0,355,0,355,0,246,0.443,246,0.443,246,0.443,246,0.443
1872,32,32,0,28.5,0.123,28.5,0.123,28.5,0.123,28.5,0.123,24,0.333,24,0.333,24,0.333,24,0.333
1883,130,130,0,130,0,130,0,130,0,130,0,98,0.327,81.5,0.595,80.5,0.615,,
1887,,,,,,,,,,,,,,,,,,,
1888,73,73,0,73,0,73,0,73,0,63,0.159,63,0.159,49.5,0.475,49.5,0.475,49.5,0.475
1889,,,,,,,,,,,,,,,,,,,
1891,,,,,,,,,,,,,,,,,,,
1904,,,,,,,,,,,,,,,,,,,
1905,,,,,,,,,,,,,,,,,,,
1906,,,,,,,,,,,,,,,,,,,
1909,,,,,,,,,,,,,,,,,,,
1971,16.5,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0,15.3,0.0784,15.3,0.0784,15.3,0.0784
