id_producto,hoy,1,1_cambio,3,3_cambio,7,7_cambio,14,14_cambio,30,30_cambio,60,60_cambio,90,90_cambio,180,180_cambio,270,270_cambio,365,365_cambio
1007,15,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0
1015,15.5,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0
1023,15,15,0,15,0,15,0,,,15,0,15,0,15,0,15,0,15,0,15,0
1031,15,15,0,15,0,15,0,15,0,15,0,,,15,0,15,0,15,0,15,0
1040,15,15,0,15,0,15,0,15,0,15,0,15,0,,,15,0,15,0,15,0
1058,15,15,0,15,0,15,0,,,15,0,,,,,15,0,15,0,15,0
1074,15,15,0,15,0,15,0,,,15,0,15,0,15,0,15,0,15,0,15,0
1082,27,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0
1090,28,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0
1104,27,27,0,27,0,27,0,27,0,27,0,,,27,0,27,0,27,0,,
1112,27,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0
1120,27,27,0,27,0,27,0,27,0,27,0,27,0,,,27,0,27,0,,
1139,27,27,0,27,0,27,0,27,0,27,0,27,0,27,0,,,27,0,27,0
1155,27,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0
1163,28,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0,28,0
1557,,,,,,,,,,,,,,,,,,,,,
1605,,,,,,,,,,,,,,,,,,,,,
1618,,,,,,,,,,,,,,,,,,,,,
1621,,,,,,,,,,,,,,,,,,,,,
1623,,,,,,,,,,,,,,,,,,,,,
1626,,,,,,,,,,,,,,,,,,,,,
1628,,,,,,,,,,,,,,,,,,,,,
1629,22,22,0,22,0,22,0,23,-0.0435,23,-0.0435,25,-0.12,25,-0.12,25,-0.12,25,-0.12,25.5,-0.137
1644,,,,,,,,,,,,,,,,,,,,,
1655,,,,,,,,,,,,,,,,,,,,,
1656,8,8,0,8,0,7.8,0.0256,7.8,0.0256,10,-0.2,10,-0.2,10,-0.2,10,-0.2,13,-0.385,12.5,-0.36
1659,15,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,12.5,0.2
1661,15,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,15,0,13,0.154
1672,12.5,12.5,0,12.5,0,12.5,0,12.5,0,12.5,0,12.5,0,12.5,0,,,,,,
1673,12.5,12.5,0,12.5,0,12.5,0,12.5,0,12.5,0,,,,,,,,,,
1674,,,,,,,,,,,,,,,,,,,,,
1675,12.5,12.5,0,12.5,0,12.5,0,12.5,0,12.5,0,12.5,0,12.5,0,,,,,,
1713,,,,,,,,,,,,,,,,,,,,,
1714,,,,,,,,,,,,,,,,,,,,,
1715,,,,,,,,,,,,,,,,,,,,,
1717,,,,,,,,,,,,,,,,,,,,,
1718,81.5,81.5,0,81.5,0,81.5,0,81.5,0,81.5,0,81.5,0,81.5,0,,,,,,
1719,,,,,,,,,,,,,,,,,,,,,
1730,,,,,,,,,,,,,,,,,,,,,
1731,11.4,11.4,0,11.4,0,11.4,0,11.4,0,10.5,0.0857,13.5,-0.156,13.5,-0.156,13.5,-0.156,13.5,-0.156,17.7,-0.356
1734,,,,,,,,,,,,,,,,,,,,,
1743,152,152,0,152,0,152,0,152,0,152,0,183,-0.169,,,,,,,,
1746,9,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,7.7,0.169
1747,26.5,26.5,0,26.5,0,26.5,0,26.5,0,26.5,0,26.5,0,26.5,0,26.5,0,26.5,0,26.5,0
1751,,,,,,,,,,,,,,,,,,,,,
1756,,,,,,,,,,,,,,,,,,,,,
1758,,,,,,,,,,,,,,,,,,,,,
1779,,,,,,,,,,,,,,,,,,,,,
1801,18,18,0,18,0,18,0,18,0,,,18,0,14.7,0.224,14.7,0.224,,,,
1802,,,,,,,,,,,,,,,,,,,,,
1820,,,,,,,,,,,,,,,,,,,,,
1825,64,64,0,64,0,64,0,64,0,64,0,,,64,0,64,0,64,0,64,0
1831,,,,,,,,,,,,,,,,,,,,,
1832,,,,,,,,,,,,,,,,,,,,,
1833,,,,,,,,,,,,,,,,,,,,,
1844,,,,,,,,,,,,,,,,,,,,,
1849,,,,,,,,,,,,,,,,,,,,,
1851,,,,,,,,,,,,,,,,,,,,,
1863,8,8,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0
1864,,,,,,,,,,,,,,,,,,,,,
1867,355,355,0,355,0,355,0,355,0,355,0,,,355,0,355,0,355,0,355,0
1872,,,,,,,,,,,,,,,,,,,,,
1883,130,130,0,130,0,130,0,130,0,130,0,,,130,0,130,0,130,0,130,0
1887,,,,,,,,,,,,,,,,,,,,,
1888,,,,,,,,,,,,,,,,,,,,,
1889,,,,,,,,,,,,,,,,,,,,,
1891,,,,,,,,,,,,,,,,,,,,,
1898,52,52,0,52,0,52,0,52,0,52,0,52,0,,,,,,,,
1899,56,56,0,56,0,56,0,56,0,56,0,56,0,,,,,,,,
1904,,,,,,,,,,,,,,,,,,,,,
1905,,,,,,,,,,,,,,,,,,,,,
1906,,,,,,,,,,,,,,,,,,,,,
1909,,,,,,,,,,,,,,,,,,,,,
1971,19,19,0,19,0,19,0,19,0,19,0,16.5,0.152,16.5,0.152,16.5,0.152,16.5,0.152,16.5,0.152
2194,9.5,9.5,0,9.5,0,,,9.5,0,9.5,0,9.5,0,9.5,0,9.5,0,9.5,0,8.3,0.145
2585,24.5,24.5,0,24.5,0,25,-0.02,25,-0.02,21,0.167,25,-0.02,29,-0.155,,,29,-0.155,24.5,0
2640,78,78,0,78,0,78,0,78,0,78,0,100,-0.22,100,-0.22,97,-0.196,97,-0.196,72,0.0833
2677,20,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0,18.5,0.0811,18,0.111
2718,,,,,,,,,,,,,,,,,,,,,
3265,35.5,35.5,0,35.5,0,35.5,0,35.5,0,39,-0.0897,32,0.109,47,-0.245,52,-0.317,,,47,-0.245
3270,50.9,50.9,0,50.9,0,50.9,0,50.9,0,56,-0.0911,,,,,76,-0.33,78.5,-0.352,68.5,-0.257
3705,,,,,,,,,,,,,,,,,,,,,
3710,,,,,,,,,,,,,,,,,,,,,
3718,33.5,33.5,0,33.5,0,33.5,0,33.5,0,33.5,0,33.5,0,33.5,0,,,25,0.34,,
3744,109,106,0.0283,106,0.0283,106,0.0283,106,0.0283,106,0.0283,,,105,0.0381,102,0.0686,98,0.112,92,0.185
3746,30.5,30.5,0,30.5,0,30.5,0,30.5,0,30.5,0,30.5,0,30.5,0,30.5,0,,,,
3751,12.5,12.5,0,12.5,0,12.5,0,12.5,0,12.5,0,12.5,0,17.9,-0.302,17.9,-0.302,17.9,-0.302,13.3,-0.0602
3757,16,16,0,16,0,16,0,16,0,15,0.0667,15,0.0667,,,16,0,19,-0.158,23.7,-0.325
3760,,,,,,,,,,,,,,,,,,,,,
3794,16,16,0,16,0,16,0,16,0,16,0,16.7,-0.0419,19.5,-0.179,19.5,-0.179,19.5,-0.179,16.3,-0.0184
3808,,,,,,,,,,,,,,,,,,,,,
3824,16.5,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0,16.7,-0.012,19.5,-0.154,19.5,-0.154,19.5,-0.154,16.3,0.0123
3871,92,92,0,92,0,92,0,92,0,92,0,,,92,0,92,0,,,88,0.0455
3873,,,,,,,,,,,,,,,,,,,,,
3883,12.5,12.5,0,12.5,0,12.5,0,12.5,0,12.5,0,12.5,0,18.2,-0.313,18.2,-0.313,18.2,-0.313,13.3,-0.0602
4795,25.5,25.5,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5,0,29,-0.121,29.5,-0.136,29.5,-0.136,28,-0.0893
4797,28,28,0,28,0,28,0,28,0,28,0,28,0,30,-0.0667,31,-0.0968,31,-0.0968,29,-0.0345
4928,11,11,0,11,0,11,0,11,0,11,0,11,0,11,0,10.3,0.068,10.3,0.068,10.3,0.068
4944,11,11,0,11,0,11,0,11,0,11,0,11,0,11,0,10.3,0.068,10.3,0.068,10.3,0.068
5003,56,56,0,56,0,56,0,56,0,56,0,56,0,49,0.143,26,1.15,49,0.143,49,0.143
5006,45,45,0,45,0,45,0,45,0,45,0,45,0,45,0,,,,,45,0
5007,39,39,0,39,0,39,0,39,0,39,0,39,0,27,0.444,35,0.114,55,-0.291,49,-0.204
5008,6,6,0,6,0,6,0,6,0,7.5,-0.2,7.5,-0.2,7.5,-0.2,9,-0.333,5.5,0.0909,4,0.5
5009,,,,,,,,,,,,,,,,,,,,,
5011,18.5,18.5,0,18.5,0,18.5,0,18.5,0,18.5,0,16,0.156,16,0.156,15.5,0.194,20.5,-0.0976,14.5,0.276
5012,10.5,10.5,0,10.5,0,10.5,0,10.5,0,6.5,0.615,6.5,0.615,6.5,0.615,9,0.167,10,0.05,9,0.167
