id_producto,hoy,1,1_cambio,3,3_cambio,7,7_cambio,14,14_cambio,30,30_cambio,60,60_cambio,90,90_cambio
1007,13,13,0,13,0,13,0,13,0,13,0,13,0,10.6,0.226
1015,,,,,,,,,,,,,,,
1023,13,13,0,13,0,13,0,13,0,13,0,13,0,,
1031,13,13,0,13,0,13,0,13,0,13,0,13,0,10.6,0.226
1040,13,13,0,13,0,13,0,13,0,13,0,13,0,10.6,0.226
1058,13,13,0,13,0,13,0,13,0,13,0,13,0,10.6,0.226
1074,13,13,0,13,0,13,0,13,0,13,0,13,0,10.6,0.226
1082,22,22,0,22,0,22,0,22,0,22,0,22,0,19.5,0.128
1090,22,22,0,22,0,22,0,22,0,22,0,22,0,19.5,0.128
1104,22,22,0,22,0,22,0,22,0,22,0,22,0,19.5,0.128
1112,22,22,0,22,0,22,0,22,0,22,0,22,0,19.5,0.128
1120,22,22,0,22,0,22,0,22,0,22,0,22,0,19.5,0.128
1139,22,22,0,22,0,22,0,22,0,22,0,22,0,19.5,0.128
1155,22,22,0,22,0,22,0,22,0,22,0,22,0,19.5,0.128
1163,25,25,0,25,0,25,0,25,0,25,0,25,0,19.5,0.282
1557,26.8,26.8,0,26.8,0,26.8,0,26.8,0,26.8,0,26.8,0,25.5,0.051
1605,5.2,5.2,0,5.2,0,5.2,0,5.2,0,5.2,0,5.2,0,5.2,0
1618,,,,,,,,,,,,,,,
1621,,,,,,,,,,,,,,,
1623,,,,,,,,,,,,,,,
1626,6,6,0,6,0,6,0,6,0,6,0,5.6,0.0714,5.4,0.111
1628,6,6,0,6,0,6,0,6,0,6,0,5.6,0.0714,5.4,0.111
1629,19.5,19.5,0,19.5,0,19.5,0,19.5,0,19.5,0,18.5,0.0541,18.5,0.0541
1644,113,113,0,113,0,113,0,113,0,113,0,113,0,113,0
1655,7.7,7.7,0,7.7,0,7.7,0,,,7.7,0,7,0.1,7,0.1
1656,7.3,7.3,0,7.3,0,7.3,0,7.3,0,7.3,0,7,0.0429,7,0.0429
1659,11.7,11.7,0,11.7,0,11.7,0,11.7,0,11.7,0,11.7,0,11.7,0
1661,11.7,11.7,0,11.7,0,11.7,0,11.7,0,11.7,0,11.7,0,11.7,0
1672,9.3,9.3,0,9.3,0,9.3,0,9.3,0,9.3,0,9.3,0,9.3,0
1673,,,,,,,,,,,,,,,
