id_producto,hoy,1,1_cambio,3,3_cambio,7,7_cambio,14,14_cambio,30,30_cambio,60,60_cambio,90,90_cambio,180,180_cambio
2585,26,26,0,26,0,26,0,26,0,20.5,0.268,20.5,0.268,20.5,0.268,17.5,0.486
2640,55,55,0,55,0,55,0,55,0,55,0,55,0,55,0,39.8,0.382
2677,16.9,16.9,0,16.9,0,16.9,0,16.9,0,15,0.127,15,0.127,15,0.127,15,0.127
2718,25.9,25.9,0,25.9,0,25.9,0,25.9,0,25.9,0,18.9,0.37,21,0.233,21,0.233
3265,,,,,,,,,,,,,,,,,
3270,73,73,0,73,0,73,0,67.3,0.0847,67.3,0.0847,79.8,-0.0852,79.8,-0.0852,65,0.123
3573,7.1,7.1,0,7.1,0,7.1,0,7.1,0,7.1,0,7.1,0,7.1,0,7.1,0
3705,135,135,0,135,0,135,0,135,0,135,0,135,0,135,0,135,0
3710,53.5,53.5,0,53.5,0,53.5,0,53.5,0,53.5,0,,,,,,
3744,93,93,0,93,0,93,0,93,0,93,0,88,0.0568,79.9,0.164,88,0.0568
3751,13.5,13.5,0,13.5,0,13.5,0,13.5,0,11,0.227,11,0.227,11,0.227,8,0.688
3757,24.5,24.5,0,24.5,0,24.5,0,20.5,0.195,19,0.289,14.7,0.667,14.7,0.667,14.2,0.725
3760,,,,,,,,,,,,,,,,,
3794,16.9,16.9,0,16.9,0,16.9,0,16.9,0,14.5,0.166,14.5,0.166,14.5,0.166,10,0.69
3808,,,,,,,,,,,,,,,,,
3824,16.9,16.9,0,16.9,0,16.9,0,16.9,0,14.5,0.166,14.5,0.166,14.5,0.166,10,0.69
3871,80,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0
3873,,,,,,,,,,,,,,,,,
3883,13.5,13.5,0,13.5,0,13.5,0,13.5,0,11,0.227,11,0.227,11,0.227,10,0.35
4795,28.5,28.5,0,28.5,0,24.5,0.163,24.5,0.163,24.5,0.163,24.5,0.163,22,0.295,18,0.583
4797,30,30,0,30,0,24.5,0.224,24.5,0.224,24.5,0.224,24.5,0.224,22,0.364,18,0.667
4928,10.5,10.5,0,10.5,0,10.5,0,10.5,0,9.3,0.129,9.3,0.129,9.3,0.129,9.3,0.129
4944,10.5,10.5,0,10.5,0,10.5,0,10.5,0,9.3,0.129,9.3,0.129,9.3,0.129,9.3,0.129
5003,18,18,0,18,0,18,0,18,0,18,0,18,0,20,-0.1,26,-0.308
5006,,,,,,,,,,,,,,,,,
5007,42.5,42.5,0,42.5,0,42.5,0,42.5,0,42.5,0,42.5,0,36.5,0.164,39,0.0897
5008,6.5,6.5,0,6.5,0,6.5,0,6.5,0,6.5,0,6.5,0,6.5,0,6.7,-0.0299
5011,6.3,6.3,0,6.3,0,6.3,0,6.3,0,6.3,0,6.3,0,6.3,0,6.3,0
5012,4.2,4.2,0,4.2,0,4.2,0,4.2,0,4.2,0,4.2,0,4.2,0,4.2,0
5014,31,31,0,31,0,31,0,31,0,31,0,34,-0.0882,34,-0.0882,34,-0.0882
5015,6.5,6.5,0,6.5,0,6.5,0,6.5,0,6.5,0,6.5,0,6.5,0,6.5,0
5016,9.3,9.3,0,9.3,0,9.3,0,9.3,0,9.3,0,9.9,-0.0606,7.7,0.208,14,-0.336
5017,8.9,8.9,0,8.9,0,8.9,0,8.9,0,8.9,0,8.9,0,4.8,0.854,9.5,-0.0632
5018,,,,,,,,,,,,,,,,,
5021,27.5,27.5,0,27.5,0,23.5,0.17,24.5,0.122,24.5,0.122,24.5,0.122,24.5,0.122,23,0.196
5022,,,,,,,,,,,,,,,,,
5023,13,13,0,13,0,13,0,13,0,13,0,13,0,13,0,8.5,0.529
5025,8,8,0,8,0,8,0,8,0,8,0,8,0,8,0,9.5,-0.158
5026,21.5,21.5,0,21.5,0,21.5,0,21.5,0,21.5,0,21.5,0,21.5,0,22.5,-0.0444
5028,40,40,0,40,0,40,0,40,0,40,0,,,,,,
5030,5,5,0,5,0,5,0,5,0,5,0,5,0,5,0,6,-0.167
5031,8,8,0,8,0,8,0,9,-0.111,9,-0.111,9,-0.111,9,-0.111,9,-0.111
5032,7.5,7.5,0,7.5,0,7.5,0,7.5,0,7.5,0,7.5,0,7.5,0,6.5,0.154
5035,65,65,0,65,0,65,0,65,0,65,0,65,0,60,0.0833,65,0
5036,6.6,6.6,0,6.6,0,7.9,-0.165,9,-0.267,9,-0.267,10,-0.34,9.5,-0.305,6,0.1
5038,5,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
5040,12.5,12.5,0,12.5,0,12.5,0,12.5,0,12.5,0,12.5,0,12.5,0,12.5,0
5044,7,7,0,7,0,7,0,7,0,7,0,7,0,7,0,9,-0.222
5048,84.5,84.5,0,84.5,0,84.5,0,84.5,0,53,0.594,53,0.594,53,0.594,53,0.594
5049,58.5,58.5,0,58.5,0,58.5,0,58.5,0,58.5,0,58.5,0,58.5,0,58.9,-0.00679
5050,66,66,0,66,0,72.5,-0.0897,72.5,-0.0897,72.5,-0.0897,44,0.5,44,0.5,44,0.5
5053,30.5,30.5,0,30.5,0,30.5,0,,,,,,,,,,
5054,10.5,10.5,0,10.5,0,10.5,0,10.5,0,10.5,0,10.5,0,10.5,0,9.9,0.0606
5055,28.5,28.5,0,23.5,0.213,23.5,0.213,22.9,0.245,28,0.0179,22,0.295,24,0.188,11,1.59
5056,8.5,8.5,0,8.5,0,8.5,0,8.5,0,8.5,0,8.5,0,8.5,0,8.5,0
5057,12,12,0,10.5,0.143,10.5,0.143,10.5,0.143,10.5,0.143,10.5,0.143,8.5,0.412,10,0.2
5059,12,12,0,12,0,12,0,9.5,0.263,9.5,0.263,9.5,0.263,8.5,0.412,9.1,0.319
5060,8.5,8.5,0,8.5,0,8.5,0,8.5,0,8.5,0,8.5,0,9.5,-0.105,13.5,-0.37
5062,14.9,14.9,0,14.9,0,16.5,-0.097,17.5,-0.149,15,-0.00667,13,0.146,8.3,0.795,7.5,0.987
5063,11.5,11.5,0,11.5,0,11.5,0,11.5,0,11.5,0,11.5,0,11.5,0,11.5,0
5064,13.9,13.9,0,13.9,0,12.5,0.112,13.6,0.0221,11,0.264,10,0.39,7,0.986,6,1.32
5065,11,11,0,11,0,9.7,0.134,8.4,0.31,9.5,0.158,9.5,0.158,8.5,0.294,14,-0.214
