id_producto,hoy,1,1_cambio,3,3_cambio,7,7_cambio,14,14_cambio,30,30_cambio,60,60_cambio,90,90_cambio,180,180_cambio,270,270_cambio
1082,26.9,26.9,0,26.9,0,26.9,0,26.9,0,26.9,0,21.9,0.228,21.9,0.228,21.9,0.228,21.9,0.228
1090,28,28,0,28,0,28,0,28,0,28,0,22.5,0.244,,,22.5,0.244,22.5,0.244
1104,26.9,26.9,0,26.9,0,26.9,0,26.9,0,26.9,0,21.9,0.228,21.9,0.228,21.9,0.228,21.9,0.228
1112,26.9,26.9,0,26.9,0,26.9,0,26.9,0,26.9,0,21.9,0.228,21.9,0.228,21.9,0.228,21.9,0.228
1120,26.9,26.9,0,26.9,0,26.9,0,26.9,0,26.9,0,21.9,0.228,21.9,0.228,21.9,0.228,21.9,0.228
1139,26.9,26.9,0,26.9,0,26.9,0,26.9,0,26.9,0,21.9,0.228,21.9,0.228,21.9,0.228,21.9,0.228
1155,26.9,26.9,0,26.9,0,26.9,0,26.9,0,26.9,0,21.9,0.228,21.9,0.228,21.9,0.228,21.9,0.228
1163,28,28,0,28,0,28,0,28,0,28,0,25,0.12,25,0.12,25,0.12,25,0.12
1557,31,31,0,31,0,31,0,31,0,27.5,0.127,27.5,0.127,27.5,0.127,27.5,0.127,27.5,0.127
1606,,,,,,,,,,,,,,,,,,,
1614,,,,,,,,,,,,,,,,,,,
1617,,,,,,,,,,,,,,,,,,,
1618,,,,,,,,,,,,,,,,,,,
1621,39.5,39.5,0,39.5,0,39.5,0,39.5,0,39.5,0,38,0.0395,38,0.0395,38,0.0395,36.9,0.0705
1623,39.5,39.5,0,39.5,0,39.5,0,39.5,0,39.5,0,38,0.0395,38,0.0395,38,0.0395,36.9,0.0705
1624,,,,,,,,,,,,,,,,,,,
1625,,,,,,,,,,,,,,,,,,,
1626,,,,,,,,,,,,,,,,,,,
1628,,,,,,,,,,,,,,,,,,,
1629,26,26,0,26,0,26,0,26,0,26,0,19.5,0.333,,,,,19.5,0.333
1642,10.5,10.5,0,10.5,0,10.5,0,10.5,0,10.5,0,,,,,,,,
1655,,,,,,,,,,,,,,,,,,,
1656,12.9,12.9,0,12.8,0.00781,12.8,0.00781,12.8,0.00781,12.8,0.00781,7.5,0.72,7.5,0.72,7.5,0.72,7,0.843
1657,12.9,12.9,0,12.8,0.00781,12.8,0.00781,12.8,0.00781,12.8,0.00781,7.5,0.72,7.5,0.72,7.5,0.72,7,0.843
1659,15.5,15.5,0,15.5,0,15.5,0,15.5,0,13,0.192,11.8,0.314,11.8,0.314,11.8,0.314,11.8,0.314
