id_producto,hoy,1,1_cambio,3,3_cambio,7,7_cambio,14,14_cambio,30,30_cambio,60,60_cambio,90,90_cambio,180,180_cambio,270,270_cambio
1007,15,15,0,15,0,15,0,15,0,15,0,13,0.154,13,0.154,13,0.154,13,0.154
1015,15.6,15.6,0,15.6,0,15.6,0,15.6,0,15.6,0,13.8,0.13,13.8,0.13,13.8,0.13,,
1023,15,15,0,15,0,15,0,15,0,15,0,13,0.154,13,0.154,13,0.154,,
1031,15,15,0,15,0,15,0,15,0,15,0,13,0.154,13,0.154,13,0.154,13,0.154
1082,26.9,26.9,0,26.9,0,26.9,0,26.9,0,26.9,0,21.9,0.228,21.9,0.228,21.9,0.228,21.9,0.228
1090,28,28,0,28,0,28,0,28,0,28,0,22.5,0.244,22.5,0.244,22.5,0.244,22.5,0.244
1104,26.9,26.9,0,26.9,0,26.9,0,26.9,0,26.9,0,21.9,0.228,21.9,0.228,,,21.9,0.228
1112,26.9,26.9,0,26.9,0,26.9,0,26.9,0,26.9,0,21.9,0.228,21.9,0.228,,,21.9,0.228
1120,26.9,26.9,0,26.9,0,26.9,0,26.9,0,26.9,0,21.9,0.228,21.9,0.228,21.9,0.228,21.9,0.228
1139,26.9,26.9,0,26.9,0,26.9,0,26.9,0,26.9,0,21.9,0.228,21.9,0.228,21.9,0.228,,
1155,26.9,26.9,0,26.9,0,26.9,0,26.9,0,26.9,0,21.9,0.228,21.9,0.228,,,21.9,0.228
1163,27.5,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,25,0.1,25,0.1,25,0.1,25,0.1
1198,56,56,0,56,0,56,0,56,0,56,0,49.9,0.122,49.9,0.122,,,49.9,0.122
1557,31,31,0,31,0,31,0,31,0,27.6,0.123,27.6,0.123,,,,,27.5,0.127
1606,,,,,,,,,,,,,,,,,,,
1610,,,,,,,,,,,,,,,,,,,
1618,,,,,,,,,,,,,,,,,,,
1621,39.5,39.5,0,39.5,0,39.5,0,39.5,0,39.5,0,38,0.0395,38,0.0395,38,0.0395,,
1623,39.5,39.5,0,39.5,0,39.5,0,39.5,0,39.5,0,38,0.0395,38,0.0395,38,0.0395,,
1624,,,,,,,,,,,,,,,,,,,
1625,,,,,,,,,,,,,,,,,,,
1626,7.5,7.5,0,7.5,0,7.5,0,7.5,0,7.5,0,6.5,0.154,6,0.25,6,0.25,5.7,0.316
1628,7.5,7.5,0,7.5,0,7.5,0,7.5,0,7.5,0,6.5,0.154,,,6.2,0.21,5.7,0.316
1629,26,26,0,26,0,26,0,26,0,26,0,19.5,0.333,19.5,0.333,,,19,0.368
1644,,,,,,,,,,,,,,,,,,,
1655,13.2,12.8,0.0312,12.8,0.0312,,,,,,,,,,,7.7,0.714,7.2,0.833
1656,12.9,12.8,0.00781,12.8,0.00781,,,,,,,,,,,7.5,0.72,7,0.843
1657,12.9,12.8,0.00781,12.8,0.00781,,,,,,,,,,,7.5,0.72,7,0.843
1659,15.5,15.5,0,15.5,0,15.5,0,13,0.192,13,0.192,11.8,0.314,11.8,0.314,11.8,0.314,11.8,0.314
1661,15.5,15.5,0,15.5,0,15.5,0,13,0.192,13,0.192,11.8,0.314,11.8,0.314,11.8,0.314,11.8,0.314
1668,,,,,,,,,,,,,,,,,,,
1705,,,,,,,,,,,,,,,,,,,
1714,20,20,0,20,0,20,0,20,0,15.5,0.29,15.5,0.29,15.5,0.29,15.5,0.29,15.5,0.29
1715,20,20,0,20,0,20,0,20,0,15.5,0.29,15.5,0.29,15.5,0.29,15.5,0.29,15.5,0.29
1717,,,,,,,,,,,,,,,,,,,
1718,,,,,,,,,,,,,,,,,,,
1719,,,,,,,,,,,,,,,,,,,
1731,18.2,18.2,0,18.2,0,18.2,0,18.2,0,18.2,0,13.7,0.328,11.5,0.583,10.5,0.733,10.2,0.784
1734,,,,,,,,,,,,,,,,,,,
1746,7.7,7.7,0,7.7,0,7.7,0,7.7,0,7.7,0,7.7,0,7.7,0,7.7,0,7.7,0
1747,28,28,0,28,0,28,0,28,0,28,0,22,0.273,22,0.273,22,0.273,22,0.273
1751,,,,,,,,,,,,,,,,,,,
1756,,,,,,,,,,,,,,,,,,,
1758,18,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0
1767,16,16,0,16,0,16,0,16,0,,,,,,,16,0,14.5,0.103
1779,,,,,,,,,,,,,,,,,,,
1792,,,,,,,,,,,,,,,,,,,
1795,37,37,0,37,0,37,0,37,0,32.5,0.138,32.5,0.138,25,0.48,25,0.48,22.5,0.644
1799,171,161,0.0646,161,0.0646,161,0.0646,161,0.0646,161,0.0646,130,0.318,130,0.318,130,0.318,117,0.465
1800,87.1,82,0.0622,82,0.0622,82,0.0622,82,0.0622,82,0.0622,64,0.361,64,0.361,64,0.361,59,0.476
1801,16,16,0,16,0,16,0,15,0.0667,15,0.0667,14,0.143,14,0.143,14,0.143,14,0.143
1825,,,,,,,,,,,,,,,,,,,
1831,13.5,13.5,0,13.5,0,13.5,0,13.5,0,13.5,0,13.5,0,13.5,0,13.5,0,13.5,0
1832,19,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0
1833,19,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0
1834,19,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0
1842,,,,,,,,,,,,,,,,,,,
1844,,,,,,,,,,,,,,,,,,,
1846,20,20,0,20,0,20,0,20,0,,,15.5,0.29,15,0.333,15,0.333,,
1849,,,,,,,,,,,,,,,,,,,
1851,,,,,,,,,,,,,,,,,,,
1863,8,8,0,8,0,8,0,8,0,8,0,8,0,8,0,8,0,,
1867,375,375,0,375,0,375,0,375,0,375,0,255,0.471,255,0.471,255,0.471,255,0.471
1870,,,,,,,,,,,,,,,,,,,
1872,,,,,,,,,,,,,,,,,,,
1880,48.5,48.5,0,48.5,0,48.5,0,48.5,0,48.5,0,33.5,0.448,33.5,0.448,31,0.565,26.5,0.83
1883,138,138,0,138,0,138,0,138,0,138,0,102,0.353,86,0.605,76,0.816,59,1.34
1884,,,,,,,,,,,,,,,,,,,
1885,76,76,0,76,0,76,0,76,0,65.5,0.16,65.5,0.16,51.5,0.476,51.5,0.476,51.5,0.476
1887,76,76,0,76,0,76,0,76,0,65.5,0.16,65.5,0.16,51.5,0.476,51.5,0.476,51.5,0.476
1888,76,76,0,76,0,76,0,76,0,65.5,0.16,65.5,0.16,51.5,0.476,51.5,0.476,51.5,0.476
1889,76,76,0,76,0,76,0,76,0,65.5,0.16,65.5,0.16,51.5,0.476,51.5,0.476,51.5,0.476
1891,138,138,0,138,0,138,0,138,0,138,0,102,0.353,86,0.605,76,0.816,,
1920,41.9,41.9,0,41.9,0,41.9,0,41.9,0,41.9,0,36.9,0.136,36.9,0.136,,,36.9,0.136
