id_producto,hoy,1,1_cambio,3,3_cambio,7,7_cambio,14,14_cambio,30,30_cambio,60,60_cambio
1082,21.9,21.9,0,21.9,0,21.9,0,21.9,0,19.5,0.123,19.5,0.123
1090,22.5,22.5,0,22.5,0,22.5,0,22.5,0,19.5,0.154,19.5,0.154
1104,21.9,21.9,0,21.9,0,21.9,0,21.9,0,19.5,0.123,19.5,0.123
1112,21.9,21.9,0,21.9,0,21.9,0,21.9,0,19.5,0.123,19.5,0.123
1120,21.9,21.9,0,21.9,0,21.9,0,21.9,0,19.5,0.123,19.5,0.123
1139,21.9,21.9,0,21.9,0,21.9,0,21.9,0,19.5,0.123,19.5,0.123
1155,21.9,21.9,0,21.9,0,21.9,0,21.9,0,19.5,0.123,19.5,0.123
1163,25,25,0,25,0,25,0,25,0,19.5,0.282,19.5,0.282
1557,27.5,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,26.5,0.0377
1614,,,,,,,,,,,,,
1617,,,,,,,,,,,,,
1618,3,3,0,3,0,3,0,3,0,3,0,2.5,0.2
1621,36.9,36.9,0,36.9,0,27.5,0.342,27.5,0.342,27.5,0.342,27.5,0.342
1623,36.9,36.9,0,36.9,0,27.5,0.342,27.5,0.342,27.5,0.342,27.5,0.342
1624,23.6,23.6,0,23.6,0,23.6,0,23.6,0,23.6,0,21,0.124
1625,23.6,23.6,0,23.6,0,23.6,0,23.6,0,23.6,0,21,0.124
1626,5.7,5.7,0,5.7,0,5.7,0,5.7,0,,,5.5,0.0364
1628,5.7,5.7,0,5.7,0,5.7,0,5.7,0,5.5,0.0364,5.5,0.0364
1629,19,19,0,19,0,19,0,19,0,19,0,19,0
1655,7.5,7.5,0,7.5,0,7.5,0,7.5,0,7.5,0,7.5,0
1656,7,7,0,7,0,7,0,7,0,7,0,7,0
1657,7,7,0,7,0,7,0,7,0,7,0,7,0
1659,11.8,11.8,0,11.8,0,11.8,0,11.8,0,11.8,0,7.5,0.573
