id_producto,hoy,1,1_cambio,3,3_cambio,7,7_cambio
1082,19.5,19.5,0,19.5,0,19.5,0
1090,19.5,19.5,0,19.5,0,19.5,0
1104,19.5,19.5,0,19.5,0,19.5,0
1112,19.5,19.5,0,19.5,0,19.5,0
1120,19.5,19.5,0,19.5,0,19.5,0
1139,19.5,19.5,0,19.5,0,19.5,0
1155,19.5,19.5,0,19.5,0,19.5,0
1163,19.5,19.5,0,19.5,0,19.5,0
1557,26.5,26.5,0,26.5,0,26.5,0
1614,16,16,0,16,0,16,0
1617,2.5,2.5,0,2.5,0,2.5,0
1618,2.5,2.5,0,2.5,0,2.5,0
1621,27.5,27.5,0,27.5,0,27.5,0
1623,27.5,27.5,0,27.5,0,27.5,0
1624,21,21,0,21,0,21,0
1625,21,21,0,21,0,21,0
1626,5.5,5.5,0,5.5,0,5.5,0
1628,5.5,5.5,0,5.5,0,5.5,0
1629,19,19,0,19,0,19,0
1655,7.5,7.5,0,7.5,0,7.5,0
1656,7,7,0,7,0,7,0
1657,7,7,0,7,0,7,0
1659,7.5,7.5,0,7.5,0,8.6,-0.128
1661,7.5,7.5,0,7.5,0,8.6,-0.128
1705,5,5,0,5,0,5,0
1714,15.5,15.5,0,15.5,0,15.5,0
1715,15.5,15.5,0,15.5,0,15.5,0
1718,52,52,0,52,0,52,0
1719,40,40,0,40,0,40,0
1731,9.2,9.2,0,9.2,0,9.2,0
1734,52,52,0,52,0,52,0
1747,22,22,0,22,0,22,0
1751,52,52,0,52,0,52,0
1752,22,22,0,22,0,22,0
1758,18,18,0,18,0,18,0
1767,14.5,14.5,0,14.5,0,14.5,0
1776,,,,,,,
1777,2.7,2.7,0,2.7,0,2.7,0
1799,105,105,0,105,0,105,0
1800,54,54,0,54,0,54,0
1801,12,12,0,12,0,12,0
1820,9.3,9.3,0,9.3,0,9.3,0
1825,62.9,62.9,0,62.9,0,62.9,0
1826,31.2,31.2,0,31.2,0,31.2,0
1827,62.5,62.5,0,62.5,0,62.5,0
1831,12.5,12.5,0,12.5,0,12.5,0
1832,16.9,16.9,0,16.9,0,16.9,0
1833,17.5,17.5,0,17.5,0,17.5,0
1834,17.5,17.5,0,17.5,0,17.5,0
1843,5.5,5.5,0,5.5,0,5.5,0
1844,12,12,0,12,0,12,0
1849,7.5,7.5,0,7.5,0,7.5,0
1851,9.3,9.3,0,9.3,0,9.3,0
1858,4,4,0,4,0,4,0
1864,31.2,31.2,0,31.2,0,31.2,0
1867,255,255,0,255,0,255,0
1870,26.5,26.5,0,26.5,0,26.5,0
1880,26.5,26.5,0,26.5,0,26.5,0
1883,64,64,0,64,0,64,0
1884,59,59,0,59,0,59,0
1891,75,75,0,75,0,75,0
1904,315,315,0,315,0,315,0
1905,315,315,0,315,0,315,0
1906,315,315,0,315,0,315,0
1907,360,360,0,360,0,360,0
1908,419,419,0,419,0,419,0
1971,15.5,15.5,0,15.5,0,15.5,0
2585,11.9,11.9,0,11.9,0,15,-0.207
2640,39.8,39.8,0,39.8,0,39.8,0
2677,15.5,15.5,0,14,0.107,14,0.107
2718,21,21,0,21,0,21,0
3265,34.6,34.6,0,34.6,0,34.6,0
3270,54,54,0,54,0,54,0
3573,,,,,,,
3705,135,135,0,135,0,135,0
3744,88,88,0,88,0,88,0
3751,6,6,0,6,0,7.5,-0.2
3757,12.7,12.7,0,12.7,0,12.7,0
3760,6,6,0,6,0,7.5,-0.2
3794,9,9,0,9,0,9,0
3808,9,9,0,9,0,9,0
3824,9,9,0,9,0,9,0
3871,80,80,0,80,0,80,0
3873,80,80,0,80,0,80,0
3883,6,6,0,6,0,7.5,-0.2
4795,16,16,0,16,0,16,0
4797,16,16,0,16,0,16,0
4928,8,8,0,8,0,8,0
4944,8,8,0,8,0,8,0
5026,15.6,15.6,0,15.6,0,15.6,0
5035,54.9,54.9,0,54.9,0,54.9,0
5088,6.3,6.3,0,6.3,0,6.3,0
5118,7.5,7.5,0,7.5,0,7.5,0
5126,3.7,3.7,0,3.7,0,3.7,0
5132,20,20,0,20,0,20,0
5156,23,23,0,23,0,23,0
5158,15,15,0,15,0,15,0
5163,24,24,0,24,0,24,0
5165,16,16,0,16,0,16,0
5166,24,24,0,24,0,24,0
5167,16.5,16.5,0,16.5,0,16.5,0
5168,39,39,0,39,0,39,0
5171,19,19,0,19,0,19,0
5175,18,18,0,18,0,18,0
5178,30,30,0,30,0,30,0
5202,24,24,0,24,0,24,0
5203,25,25,0,25,0,25,0
5205,15,15,0,15,0,15,0
5206,,,,,,,
5226,8,8,0,8,0,8,0
5312,14.5,14.5,0,14.5,0,14.5,0
5355,13,13,0,13,0,13,0
5363,12.8,12.8,0,12.8,0,12.8,0
5398,10,10,0,10,0,10,0
5491,15,15,0,15,0,15,0
5726,24,24,0,24,0,24,0
5727,21,21,0,21,0,21,0
5731,19,19,0,19,0,19,0
5788,23.5,23.5,0,23.5,0,23.5,0
5791,6.8,6.8,0,6.8,0,6.8,0
5877,32,32,0,32,0,32,0
6735,11,11,0,11,0,11,0
6736,22.5,22.5,0,22.5,0,22.5,0
6737,25,25,0,25,0,25,0
6744,13,13,0,13,0,13,0
6753,4.9,4.9,0,4.9,0,6,-0.183
6754,4.9,4.9,0,4.9,0,6,-0.183
6778,18.5,18.5,0,18.5,0,18.5,0
6788,17,17,0,17,0,17,0
7197,92.5,92.5,0,92.5,0,92.5,0
7795,72.5,72.5,0,72.5,0,72.5,0
7975,31.5,31.5,0,31.5,0,31.5,0
8176,30,30,0,30,0,30,0
8184,35.5,35.5,0,35.5,0,35.5,0
8192,31,31,0,31,0,31,0
8206,32.5,32.5,0,32.5,0,32.5,0
8210,4.7,4.7,0,4.4,0.0682,4.4,0.0682
8214,16.2,16.2,0,16.2,0,16.2,0
8222,16.2,16.2,0,16.2,0,16.2,0
8257,17.5,17.5,0,17.5,0,17.5,0
8265,18.7,18.7,0,18.7,0,18.7,0
8354,23,23,0,23,0,23,0
8362,25.5,25.5,0,25.5,0,25.5,0
8487,24,24,0,24,0,24,0
8777,77.5,77.5,0,77.5,0,77.5,0
9008,78,78,0,78,0,78,0
9032,,,,,,,
9045,8.9,8.9,0,8.9,0,8.9,0
9199,24.5,24.5,0,24.5,0,24.5,0
10219,90.5,90.5,0,90.5,0,90.5,0
10243,128,128,0,128,0,128,0
10359,52,52,0,52,0,52,0
10669,5.2,5.2,0,5.2,0,4.3,0.209
10971,21.5,21.5,0,21.5,0,21.5,0
10972,23.5,23.5,0,23.5,0,23.5,0
10973,23.5,23.5,0,23.5,0,23.5,0
11096,35,35,0,35,0,35,0
11339,31,31,0,31,0,31,0
11347,31,31,0,31,0,31,0
11363,31,31,0,31,0,31,0
11501,399,399,0,399,0,399,0
11571,22.9,22.9,0,22.9,0,22.9,0
11649,,,,,,,
11671,6,6,0,6,0,6,0
11672,6,6,0,6,0,6,0
11683,6.5,6.5,0,6.5,0,6.5,0
11738,14.9,14.9,0,14.9,0,14.9,0
11762,14.9,14.9,0,14.9,0,14.9,0
11784,15.5,15.5,0,15.5,0,15.5,0
11785,15.5,15.5,0,15.5,0,15.5,0
12173,7,6,0.167,6,0.167,6,0.167
12174,5.2,4,0.3,4,0.3,4,0.3
12175,3.5,3,0.167,3,0.167,3,0.167
12177,6,5,0.2,5,0.2,5,0.2
