id_producto,hoy,1,1_cambio,3,3_cambio,7,7_cambio,14,14_cambio,30,30_cambio,60,60_cambio,90,90_cambio,180,180_cambio
1007,15,15,0,15,0,13,0.154,13,0.154,13,0.154,13,0.154,13,0.154,13,0.154
1015,15.5,15.5,0,15.5,0,13,0.192,13,0.192,13,0.192,13,0.192,13,0.192,,
1023,15,15,0,15,0,13,0.154,13,0.154,13,0.154,13,0.154,13,0.154,13,0.154
1031,,,,,,,,,,,,,,,,,
1040,15,15,0,15,0,13,0.154,13,0.154,13,0.154,13,0.154,13,0.154,13,0.154
1058,,,,,,,,,,,,,,,,,
1074,15,15,0,15,0,13,0.154,13,0.154,13,0.154,13,0.154,13,0.154,13,0.154
1082,27,27,0,27,0,22,0.227,22,0.227,22,0.227,22,0.227,22,0.227,22,0.227
1090,28,28,0,28,0,22,0.273,22,0.273,22,0.273,22,0.273,22,0.273,22,0.273
1104,27,27,0,27,0,22,0.227,22,0.227,22,0.227,22,0.227,22,0.227,22,0.227
1112,27,27,0,27,0,22,0.227,22,0.227,22,0.227,22,0.227,22,0.227,22,0.227
1120,27,27,0,27,0,22,0.227,22,0.227,22,0.227,,,22,0.227,22,0.227
1139,,,,,,,,,,,,,,,,,
1155,27,27,0,27,0,22,0.227,22,0.227,22,0.227,22,0.227,22,0.227,22,0.227
1163,28,28,0,28,0,25,0.12,25,0.12,25,0.12,25,0.12,25,0.12,25,0.12
1557,,,,,,,,,,,,,,,,,
1605,5.2,5.2,0,5.2,0,5.2,0,5.2,0,5.2,0,5.2,0,5.2,0,5.2,0
1618,,,,,,,,,,,,,,,,,
1621,37.5,37.5,0,36.5,0.0274,36.5,0.0274,36.5,0.0274,36.5,0.0274,36.5,0.0274,36.5,0.0274,,
1623,,,,,,,,,,,,,,,,,
1626,6.5,6.5,0,6.5,0,6.5,0,6.5,0,6.5,0,5.8,0.121,6,0.0833,6,0.0833
1628,6.5,6.5,0,6.5,0,6.5,0,6.5,0,6.5,0,5.8,0.121,6,0.0833,6,0.0833
1629,25.5,25.5,0,25.5,0,25.5,0,23,0.109,19.5,0.308,19.5,0.308,19.5,0.308,19.5,0.308
1644,,,,,,,,,,,,,,,,,
1655,10,10,0,10,0,10,0,10,0,8.3,0.205,7.7,0.299,7.7,0.299,7.7,0.299
1656,10,10,0,10,0,10,0,10,0,8.3,0.205,7.3,0.37,7.3,0.37,7.3,0.37
1659,12.5,12.5,0,12.5,0,12.5,0,12.5,0,11.8,0.0593,11.8,0.0593,11.7,0.0684,11.7,0.0684
1661,13,13,0,13,0,13,0,13,0,11.7,0.111,11.7,0.111,11.7,0.111,11.7,0.111
1672,,,,,,,,,,,,,,,,,
1673,,,,,,,,,,,,,,,,,
1674,,,,,,,,,,,,,,,,,
1675,9.3,9.3,0,9.3,0,9.3,0,9.3,0,9.3,0,9.3,0,9.3,0,9.3,0
1713,,,,,,,,,,,,,,,,,
1714,16.5,16.5,0,16.5,0,16.5,0,16.5,0,16.5,0,15,0.1,15,0.1,15,0.1
1715,,,,,,,,,,,,,,,,,
