id_producto,hoy,1,1_cambio,3,3_cambio,7,7_cambio,14,14_cambio,30,30_cambio,60,60_cambio,90,90_cambio,180,180_cambio,270,270_cambio,365,365_cambio
1082,26.9,26.9,0,26.9,0,26.9,0,26.9,0,26.9,0,26.9,0,26.9,0,21.9,0.228,21.9,0.228,19.5,0.379
1090,28,28,0,28,0,28,0,28,0,28,0,28,0,28,0,22.5,0.244,22.5,0.244,19.5,0.436
1104,26.9,26.9,0,26.9,0,26.9,0,26.9,0,26.9,0,26.9,0,26.9,0,21.9,0.228,21.9,0.228,19.5,0.379
1112,26.9,26.9,0,26.9,0,26.9,0,26.9,0,26.9,0,26.9,0,26.9,0,21.9,0.228,21.9,0.228,19.5,0.379
1120,26.9,26.9,0,26.9,0,26.9,0,26.9,0,26.9,0,26.9,0,26.9,0,21.9,0.228,21.9,0.228,19.5,0.379
1139,26.9,26.9,0,26.9,0,26.9,0,26.9,0,26.9,0,26.9,0,26.9,0,21.9,0.228,21.9,0.228,19.5,0.379
1155,26.9,26.9,0,26.9,0,26.9,0,26.9,0,26.9,0,26.9,0,26.9,0,21.9,0.228,21.9,0.228,19.5,0.379
1163,28,28,0,28,0,28,0,28,0,28,0,28,0,28,0,25,0.12,25,0.12,19.5,0.436
1557,,,,,,,,,,,,,,,,,,,,,
1606,,,,,,,,,,,,,,,,,,,,,
1614,,,,,,,,,,,,,,,,,,,,,
1617,,,,,,,,,,,,,,,,,,,,,
1618,,,,,,,,,,,,,,,,,,,,,
1621,39.5,39.5,0,39.5,0,39.5,0,39.5,0,39.5,0,39.5,0,39.5,0,38,0.0395,,,27.5,0.436
1623,39.5,39.5,0,39.5,0,39.5,0,39.5,0,39.5,0,39.5,0,39.5,0,38,0.0395,,,27.5,0.436
1624,,,,,,,,,,,,,,,,,,,,,
1625,,,,,,,,,,,,,,,,,,,,,
1626,7.5,7.5,0,7.5,0,7.5,0,7.5,0,7.5,0,,,6.5,0.154,6,0.25,4.9,0.531,5.5,0.364
1628,7.5,7.5,0,7.5,0,7.5,0,7.5,0,7.5,0,,,6.5,0.154,6.2,0.21,6.2,0.21,,
1629,25,25,0,25,0,25,0,25,0,26,-0.0385,26,-0.0385,26,-0.0385,19.5,0.282,19.5,0.282,19,0.316
1642,10.5,10.5,0,10.5,0,10.5,0,10.5,0,10.5,0,10.5,0,10.5,0,,,,,,
1655,,,,,,,,,,,,,,,,,,,,,
1656,12.9,12.9,0,12.9,0,12.9,0,12.9,0,12.9,0,12.8,0.00781,7.5,0.72,7.5,0.72,7.5,0.72,7,0.843
1657,12.9,12.9,0,12.9,0,12.9,0,12.9,0,12.9,0,12.8,0.00781,7.5,0.72,7.5,0.72,7.5,0.72,7,0.843
1659,15.5,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,13,0.192,11.8,0.314,11.8,0.314,7.5,1.07
1661,15.5,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,13,0.192,11.8,0.314,11.8,0.314,7.5,1.07
1705,,,,,,,,,,,,,,,,,,,,,
1713,,,,,,,,,,,,,,,,,,,,,
1714,15.5,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0
1715,15.5,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0
1718,,,,,,,,,,,,,,,,,,,,,
1719,,,,,,,,,,,,,,,,,,,,,
1731,15,15,0,15,0,15,0,15,0,15,0,18.2,-0.176,18.2,-0.176,10.5,0.429,10.2,0.471,9.2,0.63
1734,,,,,,,,,,,,,,,,,,,,,
1747,28,28,0,28,0,28,0,28,0,28,0,28,0,22,0.273,22,0.273,22,0.273,22,0.273
1751,,,,,,,,,,,,,,,,,,,,,
1752,,,,,,,,,,,,,,,,,,,,,
1758,17.5,17.5,0,17.5,0,17.5,0,17.5,0,,,,,,,18,-0.0278,18,-0.0278,18,-0.0278
1767,,,,,,,,,,,,,,,,,,,,,
1776,,,,,,,,,,,,,,,,,,,,,
1777,,,,,,,,,,,,,,,,,,,,,
1799,171,171,0,171,0,171,0,171,0,171,0,161,0.0646,152,0.128,130,0.318,117,0.465,105,0.632
1800,,,,,,,,,,,,,,,,,,,,,
1801,14.5,14.5,0,14.5,0,14.5,0,14.5,0,14.5,0,14.5,0,13,0.115,12,0.208,12,0.208,12,0.208
1820,,,,,,,,,,,,,,,,,,,,,
1825,66,66,0,66,0,,,66,0,66,0,66,0,66,0,66,0,62.9,0.0493,62.9,0.0493
1826,,,,,,,,,,,,,,,,,,,,,
1827,,,,,,,,,,,,,,,,,,,,,
1831,15.5,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,13.5,0.148,13.5,0.148,13.5,0.148,13.5,0.148,12.5,0.24
1832,21.5,21.5,0,21.5,0,21.5,0,21.5,0,21.5,0,19,0.132,19,0.132,19,0.132,19,0.132,16.9,0.272
1833,22,22,0,22,0,22,0,22,0,22,0,19,0.158,19,0.158,19,0.158,19,0.158,17.5,0.257
1834,22,22,0,22,0,22,0,22,0,22,0,19,0.158,19,0.158,,,19,0.158,,
1843,,,,,,,,,,,,,,,,,,,,,
1844,,,,,,,,,,,,,,,,,,,,,
1849,8.7,8.7,0,8.7,0,,,,,,,8.7,0,8.7,0,7.5,0.16,7.5,0.16,7.5,0.16
1851,,,,,,,,,,,,,,,,,,,,,
1858,,,,,,,,,,,,,,,,,,,,,
1863,,,,,,,,,,,,,,,,,,,,,
1864,,,,,,,,,,,,,,,,,,,,,
1867,375,375,0,375,0,,,375,0,375,0,375,0,375,0,255,0.471,255,0.471,255,0.471
1870,48.5,48.5,0,48.5,0,48.5,0,48.5,0,48.5,0,48.5,0,33.5,0.448,31,0.565,31,0.565,26.5,0.83
1880,48.5,48.5,0,48.5,0,48.5,0,48.5,0,48.5,0,48.5,0,33.5,0.448,31,0.565,31,0.565,,
1883,138,115,0.201,115,0.201,,,115,0.201,138,0,138,0,102,0.353,86,0.605,76,0.816,64,1.16
1884,,,,,,,,,,,,,,,,,,,,,
1891,138,115,0.201,115,0.201,,,115,0.201,138,0,138,0,102,0.353,86,0.605,75,0.84,75,0.84
1904,,,,,,,,,,,,,,,,,,,,,
1905,410,410,0,410,0,,,410,0,410,0,,,369,0.111,315,0.302,315,0.302,315,0.302
1906,410,410,0,410,0,,,410,0,410,0,410,0,369,0.111,315,0.302,315,0.302,315,0.302
1907,,,,,,,,,,,,,,,,,,,,,
1908,,,,,,,,,,,,,,,,,,,,,
1971,17.5,17.5,0,17.5,0,17.5,0,17.5,0,17.5,0,17.5,0,17.5,0,17.5,0,15.5,0.129,15.5,0.129
2194,10,10,0,10,0,10,0,10,0,9,0.111,9,0.111,9,0.111,8,0.25,8,0.25,,
2585,30,30,0,30,0,30,0,30,0,30,0,26,0.154,26,0.154,20.5,0.463,17.5,0.714,11.9,1.52
2640,99.9,99.9,0,99.9,0,99.9,0,99.9,0,99.9,0,85.9,0.163,55,0.816,55,0.816,39.8,1.51,39.8,1.51
2677,20.5,20.5,0,20.5,0,20.5,0,20.5,0,17.9,0.145,17.9,0.145,17.9,0.145,16,0.281,16,0.281,15.5,0.323
2718,29,23.9,0.213,23.9,0.213,23.9,0.213,23.9,0.213,29,0,27,0.0741,25.9,0.12,21,0.381,21,0.381,21,0.381
3265,54.2,54.2,0,,,54.2,0,54.2,0,55.9,-0.0304,55.9,-0.0304,55.9,-0.0304,53,0.0226,38.9,0.393,,
