id_producto,hoy,1,1_cambio,3,3_cambio,7,7_cambio,14,14_cambio,30,30_cambio
1007,10.6,10.6,0,10.6,0,10.6,0,10.6,0,10.6,0
1015,10.6,10.6,0,10.6,0,10.6,0,10.6,0,10.6,0
1023,10.6,10.6,0,,,,,10.6,0,10.6,0
1031,10.6,10.6,0,10.6,0,10.6,0,10.6,0,10.6,0
1040,10.6,10.6,0,10.6,0,10.6,0,10.6,0,10.6,0
1058,10.6,10.6,0,10.6,0,10.6,0,10.6,0,10.6,0
1074,10.6,10.6,0,10.6,0,10.6,0,10.6,0,10.6,0
1082,19.5,19.5,0,19.5,0,19.5,0,19.5,0,19.5,0
1090,19.5,19.5,0,19.5,0,19.5,0,19.5,0,19.5,0
1104,19.5,19.5,0,,,19.5,0,19.5,0,19.5,0
1112,19.5,19.5,0,19.5,0,19.5,0,19.5,0,19.5,0
1120,19.5,19.5,0,19.5,0,19.5,0,19.5,0,19.5,0
1139,19.5,19.5,0,19.5,0,19.5,0,19.5,0,19.5,0
1155,19.5,19.5,0,19.5,0,19.5,0,19.5,0,19.5,0
1163,19.5,19.5,0,19.5,0,19.5,0,19.5,0,19.5,0
1557,26.8,25.5,0.051,25.5,0.051,25.5,0.051,25.5,0.051,25.5,0.051
1605,5.2,5.2,0,5.2,0,5.2,0,5.2,0,5.2,0
1618,3,3,0,2.7,0.111,2.7,0.111,2.7,0.111,2.7,0.111
1621,26,26,0,26,0,26,0,26,0,26,0
1623,26,26,0,26,0,26,0,26,0,,
1626,5.4,5.4,0,5.4,0,5.4,0,5.4,0,4.5,0.2
1628,5.4,5.4,0,5.4,0,5.4,0,5.4,0,4.5,0.2
1629,18.5,18.5,0,18.5,0,18.5,0,18.5,0,17,0.0882
1644,113,113,0,113,0,113,0,113,0,113,0
1655,7,7,0,7,0,7,0,,,,
1656,7,7,0,7,0,7,0,,,,
1659,11.7,11.7,0,11.7,0,11.7,0,11.7,0,8.6,0.36
1661,11.7,11.7,0,11.7,0,11.7,0,11.7,0,8.6,0.36
1672,9.3,9.3,0,9.3,0,9.3,0,9.3,0,9.3,0
1673,9.3,9.3,0,9.3,0,9.3,0,9.3,0,9.3,0
1674,9.3,9.3,0,9.3,0,,,9.3,0,,
1675,9.3,9.3,0,9.3,0,9.3,0,9.3,0,,
1713,50,50,0,50,0,50,0,50,0,50,0
1714,15,15,0,15,0,15,0,15,0,15,0
1715,15,15,0,15,0,15,0,15,0,15,0
1717,40.5,40.5,0,40.5,0,40.5,0,40.5,0,33.5,0.209
1718,50,50,0,50,0,50,0,50,0,33,0.515
1719,38.5,38.5,0,38.5,0,38.5,0,38.5,0,28,0.375
1730,15,15,0,15,0,15,0,15,0,15,0
1731,10.3,10.3,0,9.2,0.12,9.2,0.12,9.2,0.12,8.5,0.212
1734,50,50,0,50,0,50,0,50,0,50,0
1743,88,88,0,88,0,88,0,88,0,,
1746,7.7,7.7,0,7.7,0,7.7,0,7.7,0,7,0.1
1747,21,21,0,21,0,21,0,21,0,21,0
