id_producto,hoy,1,1_cambio,3,3_cambio,7,7_cambio,14,14_cambio,30,30_cambio,60,60_cambio,90,90_cambio,180,180_cambio
1082,26.9,26.9,0,26.9,0,26.9,0,21.9,0.228,21.9,0.228,21.9,0.228,21.9,0.228,21.9,0.228
1090,28,28,0,28,0,28,0,22.5,0.244,22.5,0.244,,,22.5,0.244,22.5,0.244
1104,26.9,26.9,0,26.9,0,26.9,0,21.9,0.228,21.9,0.228,21.9,0.228,21.9,0.228,21.9,0.228
1112,26.9,26.9,0,26.9,0,26.9,0,21.9,0.228,21.9,0.228,21.9,0.228,21.9,0.228,21.9,0.228
1120,26.9,26.9,0,26.9,0,26.9,0,21.9,0.228,21.9,0.228,21.9,0.228,21.9,0.228,21.9,0.228
1139,26.9,26.9,0,26.9,0,26.9,0,21.9,0.228,21.9,0.228,21.9,0.228,21.9,0.228,21.9,0.228
1155,26.9,26.9,0,26.9,0,26.9,0,21.9,0.228,21.9,0.228,21.9,0.228,21.9,0.228,21.9,0.228
1163,28,28,0,28,0,28,0,25,0.12,25,0.12,25,0.12,25,0.12,25,0.12
1557,27.5,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0,27.5,0
1606,49.5,49.5,0,49.5,0,49.5,0,49.5,0,49.5,0,39.5,0.253,39.5,0.253,,
1614,,,,,,,,,,,,,,,,,
1617,,,,,,,,,,,,,,,,,
1618,,,,,,,,,,,,,,,,,
1621,39.5,39.5,0,39.5,0,39.5,0,39.5,0,38,0.0395,38,0.0395,38,0.0395,,
1623,39.5,39.5,0,39.5,0,39.5,0,39.5,0,38,0.0395,38,0.0395,38,0.0395,,
1624,,,,,,,,,,,,,,,,,
1625,,,,,,,,,,,,,,,,,
1626,,,,,,,,,,,,,,,,,
1628,,,,,,,,,,,,,,,,,
1629,26,26,0,26,0,26,0,26,0,19.5,0.333,,,19.5,0.333,19.5,0.333
1642,10.5,10.5,0,10.5,0,10.5,0,10.5,0,,,,,,,,
1655,,,,,,,,,,,,,,,,,
1656,12.8,12.8,0,12.8,0,7.5,0.707,7.5,0.707,7.5,0.707,7.5,0.707,7.5,0.707,7.5,0.707
1657,12.8,12.8,0,12.8,0,7.5,0.707,7.5,0.707,7.5,0.707,7.5,0.707,7.5,0.707,7.5,0.707
1659,13,13,0,13,0,13,0,13,0,11.8,0.102,11.8,0.102,11.8,0.102,11.8,0.102
1661,13,13,0,13,0,13,0,13,0,11.8,0.102,11.8,0.102,11.8,0.102,11.8,0.102
1705,,,,,,,,,,,,,,,,,
1713,,,,,,,,,,,,,,,,,
1714,15.5,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0
1715,15.5,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0,15.5,0
1718,,,,,,,,,,,,,,,,,
1719,,,,,,,,,,,,,,,,,
1731,18.2,18.2,0,18.2,0,18.2,0,14.8,0.23,13.7,0.328,11.5,0.583,10.5,0.733,10.5,0.733
1734,,,,,,,,,,,,,,,,,
1747,28,28,0,28,0,22,0.273,22,0.273,22,0.273,22,0.273,22,0.273,22,0.273
1751,,,,,,,,,,,,,,,,,
1752,,,,,,,,,,,,,,,,,
1758,,,,,,,,,,,,,,,,,
1767,16,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0
1776,,,,,,,,,,,,,,,,,
1777,,,,,,,,,,,,,,,,,
1799,161,161,0,161,0,152,0.0592,152,0.0592,130,0.238,130,0.238,130,0.238,117,0.376
1800,82,82,0,82,0,77.5,0.0581,77.5,0.0581,64,0.281,64,0.281,64,0.281,59,0.39
1801,13,13,0,13,0,13,0,13,0,12,0.0833,12,0.0833,12,0.0833,12,0.0833
1820,,,,,,,,,,,,,,,,,
1825,66,66,0,66,0,66,0,66,0,66,0,66,0,66,0,62.9,0.0493
1826,,,,,,,,,,,,,,,,,
1827,,,,,,,,,,,,,,,,,
1831,13.5,13.5,0,13.5,0,13.5,0,13.5,0,13.5,0,13.5,0,13.5,0,13.5,0
1832,19,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0
1833,19,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0
1834,19,19,0,19,0,19,0,19,0,19,0,19,0,,,19,0
1843,,,,,,,,,,,,,,,,,
1844,,,,,,,,,,,,,,,,,
1849,8.7,8.7,0,8.7,0,8.7,0,8.7,0,8.7,0,7.5,0.16,7.5,0.16,7.5,0.16
1851,,,,,,,,,,,,,,,,,
1858,,,,,,,,,,,,,,,,,
1863,8,8,0,8,0,8,0,8,0,,,,,,,,
1864,37.5,37.5,0,37.5,0,37.5,0,37.5,0,31.2,0.202,,,31.2,0.202,31.2,0.202
1867,375,375,0,375,0,375,0,330,0.136,255,0.471,255,0.471,255,0.471,255,0.471
1870,48.5,33.5,0.448,33.5,0.448,33.5,0.448,33.5,0.448,33.5,0.448,33.5,0.448,31,0.565,31,0.565
1880,48.5,33.5,0.448,33.5,0.448,33.5,0.448,33.5,0.448,33.5,0.448,33.5,0.448,31,0.565,31,0.565
1883,138,138,0,138,0,102,0.353,102,0.353,102,0.353,86,0.605,86,0.605,76,0.816
1884,,,,,,,,,,,,,,,,,
1891,138,138,0,138,0,102,0.353,102,0.353,102,0.353,86,0.605,86,0.605,75,0.84
1904,,,,,,,,,,,,,,,,,
1905,369,369,0,369,0,369,0,369,0,369,0,369,0,315,0.171,,
1906,369,369,0,369,0,369,0,,,,,369,0,315,0.171,315,0.171
1907,,,,,,,,,,,,,,,,,
1908,419,419,0,419,0,419,0,419,0,419,0,419,0,419,0,419,0
1971,17.5,17.5,0,17.5,0,17.5,0,17.5,0,17.5,0,17.5,0,17.5,0,15.5,0.129
2194,9,9,0,9,0,9,0,9,0,8,0.125,8,0.125,8,0.125,,
2585,26,26,0,26,0,26,0,26,0,26,0,20.5,0.268,20.5,0.268,17.5,0.486
2640,55,55,0,55,0,55,0,55,0,55,0,55,0,55,0,39.8,0.382
2677,17.9,17.9,0,17.9,0,17.9,0,17.9,0,16,0.119,16,0.119,16,0.119,16,0.119
2718,27,27,0,27,0,25.9,0.0425,25.9,0.0425,25.9,0.0425,21,0.286,21,0.286,21,0.286
3265,55.9,55.9,0,55.9,0,55.9,0,55.9,0,55.9,0,53,0.0547,,,38.9,0.437
3270,82.3,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,77,0.0688,77,0.0688,61.1,0.347
3573,,,,,,,,,,,,,,,,,
3705,135,135,0,135,0,135,0,135,0,135,0,135,0,135,0,135,0
3710,53.5,53.5,0,53.5,0,53.5,0,53.5,0,53.5,0,,,,,,
3744,93,93,0,93,0,93,0,93,0,93,0,93,0,79.9,0.164,88,0.0568
3751,13.5,13.5,0,13.5,0,13.5,0,13.5,0,13.5,0,11,0.227,11,0.227,8,0.688
3757,24.5,24.5,0,24.5,0,24.5,0,25.5,-0.0392,19,0.289,16.2,0.512,14.7,0.667,14.7,0.667
3760,11,11,0,11,0,11,0,11,0,11,0,11,0,11,0,8,0.375
3794,16.9,16.9,0,16.9,0,16.9,0,16.9,0,16.9,0,14.5,0.166,14.5,0.166,10,0.69
3808,14.5,14.5,0,14.5,0,14.5,0,14.5,0,14.5,0,14.5,0,14.5,0,10,0.45
3824,16.9,16.9,0,16.9,0,16.9,0,16.9,0,16.9,0,14.5,0.166,14.5,0.166,10,0.69
3871,91,80,0.137,80,0.137,80,0.137,80,0.137,80,0.137,80,0.137,80,0.137,80,0.137
3873,80,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0
3883,13.5,13.5,0,13.5,0,13.5,0,13.5,0,13.5,0,11,0.227,11,0.227,10,0.35
4795,28.5,28.5,0,28.5,0,28.5,0,24.5,0.163,24.5,0.163,24.5,0.163,24.5,0.163,18,0.583
4797,30,30,0,30,0,30,0,24.5,0.224,24.5,0.224,24.5,0.224,24.5,0.224,18,0.667
4928,10.5,10.5,0,10.5,0,10.5,0,10.5,0,9.3,0.129,9.3,0.129,9.3,0.129,9.3,0.129
4944,10.5,10.5,0,10.5,0,10.5,0,10.5,0,9.3,0.129,9.3,0.129,9.3,0.129,9.3,0.129
5026,21.5,21.5,0,21.5,0,21.5,0,21.5,0,21.5,0,21.5,0,21.5,0,22.5,-0.0444
5028,,,,,,,,,,,,,,,,,
5035,65,65,0,65,0,65,0,65,0,65,0,65,0,60,0.0833,60,0.0833
5053,30.5,30.5,0,30.5,0,30.5,0,30.5,0,,,,,,,,
5070,,,,,,,,,,,,,,,,,
5088,8.7,8.7,0,8.7,0,8.7,0,8.7,0,7.5,0.16,7.5,0.16,7.5,0.16,7.5,0.16
5114,,,,,,,,,,,,,,,,,
5118,10,10,0,10,0,10,0,10,0,8.5,0.176,8.5,0.176,8.5,0.176,8.5,0.176
5126,5.5,5.5,0,5.5,0,5.5,0,5.5,0,4.7,0.17,4.7,0.17,4.7,0.17,4.7,0.17
5132,20,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0
5156,24,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0
5158,17.9,17.9,0,17.9,0,17.9,0,17.9,0,15,0.193,15,0.193,15,0.193,15,0.193
5163,24,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0
5165,,,,,,,,,,,,,,,,,
5166,,,,,,,,,,,,,,,,,
5167,18,18,0,18,0,18,0,18,0,18,0,,,18,0,17.5,0.0286
5168,49,49,0,49,0,49,0,49,0,49,0,49,0,47.5,0.0316,,
5171,30,30,0,30,0,30,0,30,0,30,0,30,0,28,0.0714,28,0.0714
5175,21,21,0,21,0,21,0,21,0,21,0,21,0,18,0.167,18,0.167
5178,33,33,0,33,0,33,0,33,0,33,0,33,0,33,0,30,0.1
5180,30,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0
5190,30,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0
5202,24,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0
5203,34,34,0,34,0,34,0,34,0,34,0,34,0,34,0,30,0.133
5205,,,,,,,,,,,,,,,,,
5206,20,20,0,20,0,20,0,20,0,20,0,20,0,20,0,20,0
5213,21,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0
5217,30,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0
5226,13,13,0,13,0,13,0,13,0,13,0,13,0,13,0,11,0.182
5312,15.5,15.5,0,15.5,0,15.5,0,15.5,0,14.5,0.069,14.5,0.069,14.5,0.069,14.5,0.069
5355,15,15,0,15,0,15,0,15,0,13,0.154,13,0.154,13,0.154,13,0.154
5363,15,15,0,15,0,15,0,15,0,12.8,0.172,12.8,0.172,12.8,0.172,12.8,0.172
