id_producto,producto,proveedor,categoria
38901,Alfombra para Auto 4 piezas,GoodYear,/Herramientas/Automotriz/Accesorios automotriz/
8067,Brocas para concreto de 8 pzas.,KWB,/Herramientas/Accesorios de Herramientas eléctricas/
8807,Caja c/6 fresas satz 4 madera y 6 metal,KWB,/Herramientas/Accesorios de Herramientas eléctricas/
24666,"Cuerda de remolque 25""",Keeper,/Herramientas/Automotriz/Accesorios automotriz/
2508,Juego de herramienta 23 piezas Onsite,Tactix,/Herramientas/Herramientas Manuales/Juegos de herramientas/
26475,Llave trafix T8,Tramontina,/Herramientas/Herramientas Manuales/Llaves/
22056,Balanza de Cocina KS22,Beurer,/Electrohogar/Cuidado Personal/Salud y Bienestar/
10550,BALANZA DIGITAL CON DISEÑO PARIS,Beurer,/Electrohogar/Cuidado Personal/Salud y Bienestar/
20128,Corta pelo Indestructible HC5850 color Negro,Remington,/Electrohogar/Cuidado Personal/Afeitadoras/
33790,Extractor de jugos HR1832/00 Philips,Philips,/Electrohogar/Electrodomésticos/Exprimidoras/
39859,Lavavajillas 12 juegos color Blanco Oster,Oster,/Electrohogar/Cocina/Lavavajillas/
6236,Sport blender nutri fit Brugmann NB250,Brugmann,/Electrohogar/Electrodomésticos/Licuadoras/
32592,Parlante inalámbrico portátil XG500 Sony,Sony,/Tecnología/Audio/Audio Portable/
43823,Play Station 4 God Of War 1TB con lector versión LATAM PS4,Sony,/Tecnología/Videojuegos/Consolas/
43020,Cacerola MONACO 24cm inducción Tramontina,Tramontina,/Hogar/Menaje Cocina/Ollas y Cacerolas/
43021,Cacerola MONACO 28cm inducción Tramontina,Tramontina,/Hogar/Menaje Cocina/Ollas y Cacerolas/
45221,Cafetera bambú negro,Secret Gourmet,/Hogar/Menaje Cocina/Teteras y Cafeteras/
46205,Conjunto porta condimentos - 7 pzas dorado,Future,/Hogar/Menaje Cocina/Utensilios de Cocina/
47136,Cubo de hielo ovalado 25l,KPN,/Hogar/Menaje Comedor/Accesorios para Bar/
44330,Escurridor de platos dorado,Future,/Hogar/Menaje Cocina/Utensilios de Cocina/
40041,Espatula mezcladora de carne,Betty Crocker,/Hogar/Menaje Cocina/Utensilios de Cocina/
42997,Individual luna wave blood,COPA AND CIA,/Hogar/Menaje Comedor/Accesorios de Mesa/
46590,Jgo copas de vino 12 pzs imperial plus 310ml,Pasabahce,/Hogar/Menaje Comedor/Copas/
34903,Juego anillos de latón para servilleta 4 piezas,Concepts,/Hogar/Menaje Comedor/Accesorios de Mesa/
265,Juego termico para hielo cosmos con tapa y pin tramontina,Tramontina,/Hogar/Menaje Comedor/Accesorios de Mesa/
47972,Molde para muffins negro,KPN,/Hogar/Menaje Cocina/Bowls y Fuentes/
32637,Sarten 26cm monaco induction,Tramontina,/Hogar/Menaje Cocina/Sartenes y Wok/
14566,Barbie En el Supermercado Mattel,Mattel,/Juguetería/Niña/Muñecas y Accesorios/
9376,Super Gimnasta C0376 Hasbro,Hasbro,/Juguetería/Juegos de Mesa/Juego de Mesa/
